Title,Autor,Year
A Serious Game for Developing Computational Thinking and Learning Introductory Computer Programming,Cagin Kazimoglu and Mary Kiernan and Liz Bacon and Lachlan Mackinnon,2012
Development and Application of a Simulation Environment (NEO) for Integrating Empirical and Computational Investigations of System-Level Complexity,"Izurieta, Clemente and Poole, Geoffrey and Payn, Robert A. and Griffith, Isaac and Nix, Ryan and Helton, Ashley and Bernhardt, Emily and Burgin, Amy J.",2012
Computer games created by middle school girls: Can they be used to measure understanding of computer science concepts?,Jill Denner and Linda Werner and Eloy Ortiz,2012
Computation and Computational Thinking,"Aho, Alfred V.",2012
Engaging and motivating computing activities with computational thinking concepts you can use,"Webb, Heidi",2013
Chapter 13 - Parallel Programming and Computational Thinking,David B. Kirk and Wen-mei W. Hwu,2013
Acknowledgements,David B. Kirk and Wen-mei W. Hwu,2013
First year student performance in a test for computational thinking,"Gouws, Lindsey and Bradshaw, Karen and Wentworth, Peter",2013
3rd International workshop on collaborative teaching of globally distributed software development (CTGDSD 2013),"Faulk, Stuart and Young, Michal and Prikladnicki, Rafael and Weiss, David M. and Yu, Lian",2013
Computing creativity: divergence in computational thinking,"Bennett, Vicki E. and Koh, KyuHan and Repenning, Alexander",2013
From Computational Thinking to AI Thinking [A letter from the editor],"Zeng, Daniel",2013
Discussing the Challenges Related to Deployment of Computational Thinking in Brazilian Basic Education,"Carvalho, Tainã and Andrade, Daiane and Silveira, Jayne and Auler, Victor and Cavalheiro, Simone and Aguiar, Marilton and Foss, Luciana and Pernas, Ana and Reiser, Renata",2013
Beyond computer science: computational thinking across disciplines,"Settle, Amber and Goldberg, Debra S. and Barr, Valerie",2013
DISSECT: integrating computational thinking in the traditional K-12 curricula through collaborative teaching (abstract only),"Hug, Sarah and Sandry, Josh and Vordermann, Ryan and Pontelli, Enrico and Wright, Ben",2013
Difficulties of items related to energy and matter: Implications for learning progression in high school chemistry,Xiufeng Liu,2013
Computational Thinking: Possibilities and Challenges,"Ribeiro, Leila and Nunes, Daltro José and Cruz, Marcia Kniphoff da and Matos, Ecivaldo de Souza",2013
Can utilizing social media and visual programming increase retention of minorities in programming classes?,"Taylor, Khallai",2013
A media-reduced approach towards informatics at primary level,"Antonitsch, Peter K. and Gigacher, Cornelia and Hanisch, Liselotte and Sabitzer, Barbara",2013
An informatics perspective on computational thinking,"Walden, James and Doyle, Maureen and Garns, Rudy and Hart, Zachary",2013
A longitudinal study of the effects of a high school robotics and computational thinking class on academic achievement (WIP),"Ko, Pat",2013
Chapter 11 - Application Case Study: Advanced MRI Reconstruction,David B. Kirk and Wen-mei W. Hwu,2013
Challenges in the implementation of a competency-based curriculum in Spain,Beatriz Crujeiras and María Pilar Jiménez-Aleixandre,2013
Chapter 5 - CUDA Memories,David B. Kirk and Wen-mei W. Hwu,2013
Alternate realities for computational thinking,"Doore, Karen",2013
Chapter 1 - Introduction,David B. Kirk and Wen-mei W. Hwu,2013
Computational thinking in educational activities: an evaluation of the educational game light-bot,"Gouws, Lindsey Ann and Bradshaw, Karen and Wentworth, Peter",2013
cs4fn and computational thinking unplugged,"Curzon, Paul",2013
From Minecraft to Minds,"Booch, Grady",2013
Computational thinking skills in Dutch secondary education,"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van de Grift, Wim and Stoker, Idzard",2013
A meta-model for dataflow-based rules in smart environments: Evaluating user comprehension and performance,Alejandro Catala and Patricia Pons and Javier Jaen and Jose A. Mocholi and Elena Navarro,2013
A pragmatic approach to develop computational thinking skills in novices in Computing Education,"Philip, Mintu and Renumol, V. G. and Gopeekrishnan, R",2013
Computational thinking and practice: a generic approach to computing in Danish high schools,"Caspersen, Michael E. and Nowack, Palle",2013
Computational thinking in CS teaching materials: a pilot study,"Barendsen, Erik and Stoker, Idzard",2013
A visual robot-programming environment for multidisciplinary education,"Cross, Jennifer and Bartley, Christopher and Hamner, Emily and Nourbakhsh, Illah",2013
Chapter 21 - Conclusion and Future Outlook,David B. Kirk and Wen-mei W. Hwu,2013
CS4Impact: measuring computational thinking concepts present in CS4HS participant lesson plans,"Bort, Heather and Brylow, Dennis",2013
CTArcade: Computational thinking with games in school age children,Tak Yeon Lee and Matthew Louis Mauriello and June Ahn and Benjamin B. Bederson,2014
Analyzing the Learning Process in Online Educational Game Design: A Case Study,"Ahmadi, Navid and Jazayeri, Mehdi",2014
Early validation of computational thinking pattern analysis,"Koh, Kyu Han and Nickerson, Hilarie and Basawapatna, Ashok and Repenning, Alexander",2014
An implementation of design-based learning through creating educational computer games: A case study on mathematics learning during design and computing,Fengfeng Ke,2014
Cognitive outcomes from the Game-Design and Learning (GDL) after-school program,Mete Akcaoglu and Matthew J. Koehler,2014
CABECT: collaborating across boundaries to engage undergraduates in computational thinking (abstract only),"Pulimood, Sarah Monisha and Pearson, Kim and Bates, Diane C.",2014
Computational thinking for all: the power and the peril,"Panoff, Robert Michael",2014
Automatic detection of bad programming habits in scratch: A preliminary study,"Moreno, Jesús and Robles, Gregorio",2014
Computational Science for Undergraduate Biologists via QUT.Bio.Excel,Lawrence Buckingham and James M. Hogan,2014
Digital ink for cognitive assessment of computational thinking,"Ambrósio, Ana Paula and Xavier, Cleon and Georges, Fouad",2014
Computational thinking skills in dutch secondary education: exploring pedagogical content knowledge,"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van Veen, Klaas and Stoker, Idzard",2014
Beyond Minecraft: Facilitating Computational Thinking through Modeling and Programming in 3D,"Repenning, Alexander and Webb, David C. and Brand, Catharine and Gluck, Fred and Grover, Ryan and Miller, Susan and Nickerson, Hilarie and Song, Muyang",2014
Algorithmic thinking observation: How students of applied informatics break the mystery of black box applications,"Cápay, Martin",2014
DISSECT: An experiment in infusing computational thinking in K-12 science curricula,"Arraki, K. and Blair, K. and Bürgert, T. and Greenling, J. and Haebe, J. and Lee, G. and Peel, A. and Szczepanski, V. and Pontelli, E. and Hug, Sarah",2014
Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,Marina Umaschi Bers and Louise Flannery and Elizabeth R. Kazakoff and Amanda Sullivan,2014
Computational Thinking in K-9 Education,"Mannila, Linda and Dagiene, Valentina and Demo, Barbara and Grgurina, Natasa and Mirolo, Claudio and Rolandsson, Lennart and Settle, Amber",2014
Embedded standards-based digital gaming assessments: Pilot study with teachers,"Leanna Prater, M. A. and Mazur, Joan M.",2014
Computational Thinking in Elementary and Secondary Teacher Education,"Yadav, Aman and Mayfield, Chris and Zhou, Ninger and Hambrusch, Susanne and Korb, John T.",2014
Dancing alice: exploring embodied pedagogical strategies for learning computational thinking,"Daily, Shaundra B. and Leonard, Alison E. and J\""{o}rg, Sophie and Babu, Sabarish and Gundersen, Kara",2014
China's perspective from the viewpoint of computational thinking on CS1 for non-majors (abstract only),"Zhang, Ming and Li, Bo and Lo, Ginnie",2014
Cultural appropriation of computational thinking acquisition research: seeding fields of diversity,"de Souza, Clarisse S. and Salgado, Luciana C. and Leit\~{a}o, Carla F. and Serra, Martha M.",2014
Computational thinking curriculum development for upper elementary school classes,"Hill, Charlotte",2014
Digital technology teachers' perceptions of computer science: It is not all about programming,"Prieto-Rodriguez, Elena and Berretta, Regina",2014
1 - The influences of personality traits on academic performance through imaginative capability: the differences between engineering and science,C. Liang and H.-T. Yeh,2014
Character animation and embodiment in teaching computational thinking,"J\""{o}rg, Sophie and Leonard, Alison E. and Babu, Sabarish and Gundersen, Kara and Parmar, Dhaval and Boggs, Kevin and Daily, Shaundra Bryant",2014
Computational thinking: expanding the toolkit,"Imberman, Susan P. and Sturm, Deborah and Azhar, Mohammad Q.",2014
A Qualitative Study of Students' Computational Thinking Skills in a Data-Driven Computing Class,"Yuen, Timothy T. and Robbins, Kay A.",2014
"""AliCe-ViLlagE"" Alice as a Collaborative Virtual Learning Environment","Al-Jarrah, Ahmad and Pontelli, Enrico",2014
Code generation,Niall Firth,2014
Effectiveness of a computational thinking (CS0) course on student analytical skills,"Van Dyne, Michele and Braun, Jeffrey",2014
Computational thinking skills in dutch secondary education: exploring teacher's perspective,"Grgurina, Nata\v{s}a and Barendsen, Erik and Zwaneveld, Bert and van Veen, Klaas and Stoker, Idzard",2014
Design and Preliminary Results From a Computational Thinking Course,"Kafura, Dennis and Bart, Austin Cory and Chowdhury, Bushra",2015
Assisting H1N1 and Ebola Outbreak Response through High Performance Networked Epidemiology,"Marathe, Madhav",2015
Computer programming as an educational tool in the English classroom a preliminary study,"Moreno-León, J. and Robles, Gregorio",2015
From computational thinking to computational making,"Rode, Jennifer A. and Weibert, Anne and Marshall, Andrea and Aal, Konstantin and von Rekowski, Thomas and Elmimouni, Houda and Booker, Jennifer",2015
From computational thinking to computational making,"Rode, Jennifer A. and Marshall, Andrea and Weibert, Anne and Aal, Konstantin and von Rekowski, Thomas and Elmimouni, Houda and Sharma, Akshay and Jobs, Jordan and Schleeter, Alexis and Booker, Jennifer",2015
Cloud-hosted simulation-as-a-service for high school STEM education,Faruk Caglar and Shashank Shekhar and Aniruddha Gokhale and Satabdi Basu and Tazrian Rafi and John Kinnebrew and Gautam Biswas,2015
DNA and 普通話 (Mandarin): Bringing introductory programming to the Life Sciences and Digital Humanities,Mark D. LeBlanc and Michael D.C. Drout,2015
Developing Computational Thinking Through Image Making and Constructionist Learning (Abstract Only),"Fordham, Eileen and Freger, Halley and Hinchman-Dominguez, Amanda and Mitchell, Alexander and Rebelsky, Daniel and Tsou, Victoria and Wheeler, Earnest and Wolter, Zoe and Rebelsky, Samuel A.",2015
Development of a video game that teaches the fundamentals of computer programming,"Ventura, Matthew and Ventura, John and Baker, Chad and Viklund, Grant and Roth, Randall and Broughman, Jonas",2015
Assessments for Computational Thinking in K-12 (Abstract Only),"Grover, Shuchi and Bienkowski, Marie and Snow, Eric",2015
Employing narratives to trigger interest in computational activities with inner-city girls,"Erete, Sheena and Pinkard, Nichole and Martin, Caitlin K. and Sandherr, Jim",2015
A Distributed Robot Garden System,"Sanneman, Lindsay and Ajilo, Deborah and DelPreto, Joseph and Mehta, Ankur and Miyashita, Shuhei and Poorheravi, Negin Abdolrahim and Ramirez, Cami and Sehyuk Yim and Kim, Sangbae and Rus, Daniela",2015
Effects of gender and abstract thinking factors on adolescents' computer program learning,"Park, Chan Jung and Hyun, Jung Suk and Heuilan, Jin",2015
DISSECT: Exploring the relationship between computational thinking and English literature in K-12 curricula,"Nesiba, Natasha and Pontelli, Enrico and Staley, Timothy",2015
Aligning Enterprise Analytics to Business Process Capability Maturity,John Huffman and Lawrence E. Whitman,2015
Computational Thinking Meets Design Thinking: Technology and Arts Collaborations,"Brunvand, Erik",2015
Determining the effects of computer science education at the secondary level on STEM major choices in postsecondary institutions in the United States,Ahlam Lee,2015
Computational Thinking Curriculum for K-12 Education -- A Delphi Survey,"Chuang, Hui-Chi and Hu, Chiu-Fan and Wu, Cheng-Chih and Lin, Yu-Tzu",2015
Computing pre-college program: Initial impact to first-year student in computer science,"Muhammad, Jean and Boonthum-Denecke, Chutima",2015
Computing in the Classroom: A Workshop for Teachers to Infuse Computational Thinking into K-12 Classrooms (Abstract Only),"Kurt-Peker, Yesem and Ray, Lydia and Hodhod, Rania and Khan, Shamim",2015
A Pilot Computer Science and Programming Course for Primary School Students,"Duncan, Caitlin and Bell, Tim",2015
Bring CS2013 Recommendations into c Programming Course,Lingling Zhao and Xiaohong Su and Tiantian Wang,2015
Computational thinking in a non-majors CS course requires a programming component,"Walker, Henry M.",2015
Exploring Students' Computational Thinking Skills in Modeling and Simulation Projects: a Pilot Study,"Grgurina, Nata\v{s}a and Barendsen, Erik and van Veen, Klaas and Suhre, Cor and Zwaneveld, Bert",2015
Curriculum Design for Computational Thinking Training Based on Concept Map,"Weiwei, Chen and Zhigang, Li and Aihua, Bao and Yanqin, Tang",2015
DISSECT: Analysis of pedagogical techniques to integrate computational thinking into K-12 curricula,"Burgett, T. and Folk, R. and Fulton, J. and Peel, A. and Pontelli, E. and Szczepanski, V.",2015
A Gang Scheduling Computational Paradigm for Container Terminal Logistics with Processor Affinity,"Li, Bin and Shen, Weiming",2015
Elementary Students’ Motivation Towards Informatics Course,Saša Mladenović and Žana Žanko and Monika Mladenović,2015
A new way of teaching programming skills to K-12 students: Code.org,Filiz Kalelioğlu,2015
Exploring concurrency on computational thinking tools,"Slaviero, Cleyton and Haeusler, Edward Hermann",2015
Code and tell: assessing young children's learning of computational thinking using peer video interviews with ScratchJr,"Portelance, Dylan J. and Bers, Marina Umaschi",2015
Abstracting Anonymization Techniques: A Prerequisite for Selecting a Generalization Algorithm,Feten Ben Fredj and Nadira Lammari and Isabelle Comyn-Wattiau,2015
Construction of virtual-actual fusion experiment platform: Exploration of University Computer reform in local college,"Jun, Zhao Yan and Ying, Zhang Chun",2015
DISSECT: An experiment in infusing computational thinking in a sixth grade classroom,"Peel, A. and Fulton, J. and Pontelli, E.",2015
From Algorithmic to Computational Thinking: On the Way for Computing for all Students,"Sys\l{}o, Maciej M.",2015
Dyadic instruction for middle school students: Liking promotes learning,Amy C. Hartl and Dawn DeLay and Brett Laursen and Jill Denner and Linda Werner and Shannon Campe and Eloy Ortiz,2015
CodePlus — Designing an after school computing programme for girls,"Sullivan, K. and Byrne, J. R. and Bresnihan, N. and O'Sullivan, K. and Tangney, B.",2015
Evaluating Scratch Programs to Assess Computational Thinking in a Science Lesson (Abstract Only),"Albert, Jennifer and Peddycord III, Barry and Barnes, Tiffany",2015
Computer Science Meets Social Studies: Embedding CS in the Study of Locally Grounded Civic Issues,"Van Wart, Sarah Jane",2015
Can computational thinking predict academic performance?,"Haddad, Rami J. and Kalaani, Youakim",2015
Container terminal logistics scheduling and decision-making within the conceptual framework of computational thinking,"Li, Bin",2015
11 - For the mutual benefit: Health information provision in the science classroom,Albert Zeyer and Daniel M. Levin and Alla Keselman,2015
Computational thinking in Greenfoot: AI game strageties for CS1: conference workshop,"Jonas, Michael and Sabin, Mihaela",2015
Approaches for teaching computational thinking strategies in an educational game: A position paper,"Bauer, Aaron and Butler, Eric and Popović, Zoran",2015
A Work in Progress Paper: Evaluating a Microworlds-based Learning Approach for Developing Literacy and Computational Thinking in Cross-curricular Contexts,"Jenkins, Craig",2015
Entry: visual programming to enhance children's computational thinking,"Han, Ahyoung and Kim, Jihyun and Wohn, Kwangyun",2015
Computational thinking and impacts on K-12 science education,"Toedte, Ross J. and Aydeniz, Mehmet",2015
Bringing Computational Thinking to STEM Education,Samar I. Swaid,2015
Dr. Scratch: a Web Tool to Automatically Evaluate Scratch Projects,"Moreno-Le\'{o}n, Jes\'{u}s and Robles, Gregorio",2015
Collaboration and Computational Thinking: A classroom structure,"Worrell, Benjamin and Brand, Catharine and Repenning, Alexander",2015
Computational thinking leads to computational learning: Flipped class room experiments in linear algebra,"Se, Shriya and Ashwini B and Chandran, Archana and Soman K.P",2015
A container terminal logistics computational architecture with MPSoC distributed cooperative computing perspective,"Bin, Li",2015
Computational thinking through children's games: an analysis of interaction elements,"Falc\~{a}o, Taciana Pontual and Gomes, Tancicleide C. Sim\~{o}es and Albuquerque, Isabella Rocha",2015
Developing computational thinking through pattern recognition in early years education,"Calderon, Ana C. and Crick, Tom and Tryfona, Catherine",2015
ENGAGE: A Game-based Learning Environment for Middle School Computational Thinking,"Boyer, Kristy and Buffum, Philip Sheridan and Culbertson, Kirby and Frankosky, Megan and Lester, James and Martinez-Arocho, Allison and Min, Wookhee and Mott, Bradford and Rodriguez, Fernando and Wiebe, Eric",2015
A survey of resources for introducing coding into schools,"Garc\'{\i}a-Pe\~{n}alvo, Francisco J. and Rees, Angela Marie and Hughes, Jenny and Jormanainen, Ilkka and Toivonen, Tapani and Vermeersch, Jens",2016
A brief introduction to TACCLE 3 — coding European project,"García-Peñalvo, Francisco J.",2016
Collaboration and Gender Equity in Game-Based Learning for Middle School Computer Science,"Buffum, Philip Sheridan and Frankosky, Megan and Boyer, Kristy Elizabeth and Wiebe, Eric N. and Mott, Bradford W. and Lester, James C.",2016
Frogs to Think with: Improving Students' Computational Thinking and Understanding of Evolution in A Code-First Learning Environment,"Guo, Yu and Wagh, Aditi and Brady, Corey and Levy, Sharona T. and Horn, Michael S. and Wilensky, Uri",2016
Designing educational material,"Kloos, Carlos Delgado and Gil, Manuel Castro and Rodríguez, Pilar and Robles, Gregorio and Tovar, Edmundo and Manjón, Baltasar Fernández",2016
Can Computational Thinking help me? A quantitative study of its effects on education,"Rodrigues, Rivanilson S. and Andrade, Wilkerson L. and Campos, Livia M. R. Sampaio",2016
Does computational thinking correlate with personality? the non-cognitive side of computational thinking,"Rom\'{a}n-Gonz\'{a}lez, Marcos and P\'{e}rez-Gonz\'{a}lez, Juan-Carlos and Moreno-Le\'{o}n, Jes\'{u}s and Robles, Gregorio",2016
Computational Model of the Tangled Web,Viacheslav E. Wolfengagen and Larisa Yu. Ismailova and Sergey Kosikov,2016
Computational thinking: Panorama of the Americas,"Brackmann, Christian and Barone, Dante and Casali, Ana and Boucinha, Rafael and Muñoz-Hernandez, Susana",2016
Advancing students’ computational thinking skills through educational robotics: A study on age and gender relevant differences,Soumela Atmatzidou and Stavros Demetriadis,2016
Computational thinking tools,"Repenning, Alexander and Basawapatna, Ashok and Escherle, Nora",2016
Design Insights into the Creation and Evaluation of a Computer Science Educational Game,"Horn, Britton and Clark, Christopher and Strom, Oskar and Chao, Hilery and Stahl, Amy J. and Harteveld, Casper and Smith, Gillian",2016
Concordance in the Crowdsourcing Activity,Viacheslav E. Wolfengagen and Larisa Yu. Ismailova and Sergey Kosikov,2016
Computing as a new compulsory subject in the Macedonian primary schools curriculum,"Jovanov, Mile and Stankov, Emil and Mihova, Marija and Ristov, Sashko and Gusev, Marjan",2016
Blending Mobile Programming and Liberal Education in a Social-Economic High School,"Fronza, Ilenia and El Ioini, Nabil and Corral, Luis",2016
Code Bits: An Inexpensive Tangible Computational Thinking Toolkit For K-12 Curriculum,"Goyal, Sidhant and Vijay, Rohan S. and Monga, Charu and Kalita, Pratul",2016
A systematic mapping study on assessing computational thinking abilities,"de Araujo, Ana Liz Souto O. and Andrade, Wilkerson L. and Serey Guerrero, Dalton D.",2016
An Experience Report on Teaching Programming and Computational Thinking to Elementary Level Children Using Lego Robotics Education Kit,"Chaudhary, Vidushi and Agrawal, Vishnu and Sureka, Pragya and Sureka, Ashish",2016
Computational Thinking as a Liberal Study,"Mason, Dave and Khan, Irfan and Farafontov, Vadim",2016
A bilingual MOOC that teaches youngsters how to program: Analysis and reflections on one year of experiences,"de Kereki, Inés Friss and Paulós, J. Víctor and Manataki, Areti",2016
Code to learn with Scratch? A systematic literature review,"Moreno-León, Jesús and Robles, Gregorio",2016
Beyond the Lab: Using Technology Toys to Engage South African Youth in Computational Thinking,"Lin, Veronica and Shaer, Orit",2016
A case study on cooperative problem solving processes in small 9th grade student groups,"Standl, Bernhard",2016
From computational thinking to computational participation in K--12 education,"Kafai, Yasmin B.",2016
Assessing Computational Thinking in Students' Game Designs,"Hoover, Amy K. and Barnes, Jackie and Fatehi, Borna and Moreno-Le\'{o}n, Jes\'{u}s and Puttick, Gillian and Tucker-Raymond, Eli and Harteveld, Casper",2016
Computational Thinking as a Computer Science Education Framework and the Related Effects on Gender Equity,"Good, Jon",2016
Embodied programming: Supporting the move from concrete to abstract,"Trory, Anthony",2016
A Study on the Impact of Multidisciplinary Collaboration on Computational Thinking,"Pulimood, Sarah Monisha and Pearson, Kim and Bates, Diane C.",2016
A case study of undergraduate engineering students' computational literacy and self-beliefs about computing in the context of authentic practices,Alejandra J. Magana and Michael L. Falk and Camilo Vieira and Michael J. Reese,2016
Can embodied interaction and virtual peer customization in a virtual programming environment enhance computational thinking?,"Parmar, Dhaval and Babu, Sabarish V. and Lin, Lorraine and Jörg, Sophie and D'Souza, Nikeetha and Leonard, Alison E. and Daily, Shaundra B.",2016
Designing for differentiation: Learning objectives and design strategies for computational thinking,"Cahill, Clara",2016
