Title,Autor,Year
Learning with models and learning by modelling: exploring the role of multiple representations using computational media,M. Milrad,2004
Using introspection and prototype driven to achieve design analysis in the process of concept generation based on information processing,Z. Wang; D. H. Zhang; W. P. He,2004
An agentbased modelling methodology for the investigation of complex adaptive production networks,B. Patkai; S. J. Torvinen,2004
Problem solving based technical drawing education,P. Toth,2004
Computational Musicology: An Artificial Life Approach,E. Coutinho; M. Gimenes; J. M. Martins; E. R. Miranda,2005
Computer as thinking Agent: Modeling the European Power Markets using Agent-Based Simulation,N. Keseric; M. Saguan; G. Hadjee,2005
Using agents and simulation to develop adequate thinking styles,Dai-Yi Wang; Zong-Han Wu; Chuen-Tsai Sun; S. S. J. Lin,2005
A grid-enabled PSE for physical simulation: experiences on GridPSi,Zhou Jun; Y. Umetani,2005
Supporting creative thinking in design with computational approach,Hong Liu; Huichuan Duan; Xiyu Liu,2005
Abstracts,,2005
Perspectives of granular computing,Y. Yao,2005
Autopoiesis and Digital Design Theory: CAD Systems as Cognitive Instruments,Eduardo Lyon,2005
Let's think analog,M. A. Breuer,2005
"Algorists, Algorithms, and Complexity: An Exploration of the Shavian Critique of Discrete State Computation",A. J. Wells,2005
Spontaneous Eye Blink Rates Vary According to Individual Differences in Generalized Control Perception,Carolyn H. Declerck and Bert De Brabander and Christophe Boone,2006
Think Simulation - Think Experiment: The Virtual Cell Paradigm,I. I. Moraru; J. C. Schaff; L. M. Loew,2006
"Interaction, computation, and education","Stein, Lynn Andrea",2006
Learning and Control of Human-Like Thinking Process,P. -j. Wang,2006
Quantum-like brain: “Interference of minds”,Andrei Khrennikov,2006
Technologies That Make You Smile: Adding Humor to Text-Based Applications,R. Mihalcea; C. Strapparava,2006
Analysis and Implementation of Human Control Thinking Process,P. Wang,2006
In Defense of Mechanism,A.J. Wells,2006
"Call it problem solving, not computational thinking [8]","Glass, Robert L.",2006
Computational Politics and Economy for the Establishment of an Integrated Intelligent Government,M. Nojoumian; T. T. Tran,2006
Computational Creativity,W. Duch,2006
A mark 1 geographical analysis machine for the automated analysis of point data sets,"Openshaw, Stan and Charlton, Martin E. and Wymer, Colin and Craft, Alan",2006
Computational thinking,"Wing, Jeannette M.",2006
Utilizing Customizable Generative Design Tools in Digital Design Studio: Xp-GEN Experimental Form Generator,Burak Pak and Ozan Onder Ozener and Arzu Erdem,2006
Computational thinking,"Henderson, Peter B. and Cortina, Thomas J. and Wing, Jeannette M. and Hazzan, Orit",2007
Sharing descriptions of movement,Scott deLahunta and Frédéric Bevilacqua,2007
Speculative data and the creative imaginary: Shared innovative visions between art and technology,"Jennings, Pamela",2007
Robotics in early undergraduate education,"Duke, David L. and Carlson, Justin and Thorpe, Chuck",2007
CS4HS: An outreach program for high school CS teachers,"Blum, Lenore and Cortina, Thomas J.",2007
"25th Conference on Education in Computer Aided Architectural Design in Europe, eCAADe 2007",Sin Valor,2007
From Computer to Compost: Rethinking Our Metaphors for Memory,William L. Randall,2007
Abstracts,Sloan Evans Despeaux and Laura Martini and Kim Plofker,2007
The AProS Project: Strategic Thinking & Computational Logic,W. Sieg,2007
Human being properties of saplings growing up algorithm,"Karci, Ali",2007
Thinking Outside the Box in Geometry and Art,,2007
Computational thinking in biology,"Priami, Corrado",2007
Transactions on Computational Systems Biology VIII,Sin Valor,2007
The Tendon Network of the Fingers Performs Anatomical Computation at a Macroscopic Scale,F. J. Valero-Cuevas; J. -W. Yi; D. Brown; R. V. McNamara; C. Paul; H. Lipson,2007
Broadening the Audience for Computational Thinking:Graduate Student Consortium,J. F. Pane; M. B. Rosson,2007
Modeling organizational adaptation: A replication of Levinthal’s model of emergent order,B. F. Tivnan,2007
An introduction to computer science for non-majors using principles of computation,"Cortina, Thomas J.",2007
Gelassenheit: Dilemma of computational thinking in architecture,"Yalınay, Şebnem",2007
Emotional Agent Based on Rough Set,J. Hu; Y. -h. Chen; C. Guan,2007
"If You Build Teachers, Will Students Come? The Role of Teachers in Broadening Computer Science Learning for Urban Youth",Joanna Goode,2007
Broadening the audience for computational thinking: Graduate student consortium,"Pane, John F. and Rosson, Mary Beth",2007
News Briefs,Sin Valor,2007
The Expert System of Product Design Based on CBR and GA,L. Chaoan,2007
Scenario Forming and Evaluation Analyzing,Y. Liu,2007
Human Being Properties of Saplings Growing up Algorithm,A. Karci,2007
To Play with a Computer System,L. Yingjie; W. Cuihua,2008
Model of Hyper Topology Structure about Associative Thinking,J. Han; X. Wang,2008
Work in progress - connecting laboratory experiments to theory through simulation,W. M. Clark; D. DiBiasio,2008
Expanding the benefits of computational thinking to diverse populations: Graduate student consortium,J. F. Pane; S. Wiedenbeck,2008
An embodied interface for teaching computational thinking,"Good, Judith and Romero, Pablo and Boulay, Benedict Du and Reid, Henry and Howland, Katherine and Robertson, Judy",2008
"Recursion-or, better computational thinking through laughter","Eisenberg, Michael",2008
Making Computer Games and Design Thinking: A Review of Current Software and Strategies,Elisabeth R. Hayes and Ivan Alex Games,2008
Expanding the benefits of computational thinking to diverse populations: Graduate student consortium,"Pane, John F. and Wiedenbeck, Susan",2008
An Optimized Q-Learning Algorithm Based on the Thinking of Tabu Search,X. Zhang; Z. Liu,2008
Advancing social science research by applying computational linguistics,"Cheng, An-Shou and Fleischmann, Kenneth R. and Wang, Ping and Oard, Douglas W.",2008
Computational thinking and thinking about computing,"Wing, Jeannette M.",2008
Representing Design Intent for Computer-supported Consistency Maintenance,J. Liu; Z. Sun,2008
Comment,Pat Hanrahan,2008
An Innovative Approach to Teaching an Undergraduate Software Engineering Course,C. Y. Lester,2008
A Framework for revitalizing undergraduate computer science,"Daimi, Kevin",2008
Meta-synthetic Computing Formula of Situation Assessment in Social Interactions,X. Cui; R. Dai,2008
A Design Thinking Process Model for Capturing and Formalizing Design Intents,Z. Sun; J. Liu,2008
The services-oriented architecture: Ecosystem services as a framework for diagnosing change in social ecological systems,"Loring, Philip A. and Chapin III, F. Stuart and Gerlach, S. Craig",2008
The effects of emphasizing computational thinking in an introductory programming course,"Davies, Stephen",2008
Work in progress - Analyzing the gap between diagrams and code in computer science,"Davies, Stephen",2008
The challenging face of informatics education in Poland,"Sysło, MacIej M. and Kwiatkowska, Anna Beata",2008
Experiences-Based Intelligence Simulation in ECG Recognition,J. Dong; J. -w. Zhang,2008
Education: Paving the way for computational thinking,"Guzdial, Mark",2008
The effects of emphasizing computational thinking in an introductory programming course,S. Davies,2008
"A swan, a pike, and a crawfish walk into a bar",Shimon Edelman,2008
Computational thinking and thinking about computing,"Wing, Jeannette",2008
Preliminary thinking about the mathematic foundation of modern computational electromagnetism,Yang Benluo; Li Shuguang,2008
Recruiting students to computer Science program via online games,"Tadayon, N. and Tadayon, R. and Tu, M.",2008
Computing Across Curricula,"Craig, Amy and Bullard, Lisa and Joines, Jeff and Miller, Carolyn and Miller, Tom and Raubenheimer, Dianne and Rouskas, George and Silverberg, Larry and Wiebe, Eric",2008
The Visible Cell™ Project: Changing the Way We Think about Cells,M. Ragan; B. Marsh,2008
Design planning by end-user web developers,Mary Beth Rosson and Hansa Sinha and Mithu Bhattacharya and Dejin Zhao,2008
Grid Load Balancing Scheduling Algorithm Based on Statistics Thinking,B. Lu; H. Zhang,2008
An innovative approach to teaching an undergraduate software engineering course,"Lester, Cynthia Y.",2008
The Application of Digital Technology in the Design Domain,M. Wu; J. Hao,2008
The role of software entrepreneurship in computer science curriculum,"Daimi, Kevin and Rayess, Nassif",2008
Evolutionary algorithms for real world applications [Application Notes],T. Back; M. Emmerich; O. M. Shir,2008
Those who will not learn from history...,"Wilson, Greg",2008
Textile Pattern Generation Technique Based on Quasi-Regular Pattern Theory and Their Transform,L. Suyi; Z. Leduo,2008
The expansion of CS4HS: An outreach program for high school teachers,"Blum, Lenore and Cortina, Thomas J. and Lazowska, Ed and Wise, Joe",2008
Escape machine: Teaching computational thinking with a tangible state machine game,"Weller, Michael Philetus and Do, Ellen Yi-Luen and Gross, Mark D",2008
"Informatics Education - Supporting Computational Thinking - Third International Conference on Informatics in Secondary Schools - Evolution and Perspectives, ISSEP 2008, Proceedings",Sin Valor,2008
A space–time-ensemble parallel nudged elastic band algorithm for molecular kinetics simulation,Aiichiro Nakano,2008
Paradigms of Meta-synthetic Computing,Y. Li; X. Cui; R. Dai,2008
Load Balancing Oriented Economic Grid Resource Scheduling,J. Chen; B. Lu,2008
"Granular computing: Past, present and future",Yiyu Yao,2008
AgentCubes: Incremental 3D end-user development,"Ioannidou, Andri and Repenning, Alexander and Webb, David C.",2009
Nonnative speech recognition based on bilingual model modification,Q. Zhang; J. Pan; S. -d. Chan; Y. Yan,2009
Supporting the development of multimodal writing and computational thinking skills through computer game creation,K. Howland,2009
How Can We Teach Computational Literacy to All Levels of Students?,S. Kim; S. Han; H. Kim,2009
Leveraging workforce needs to inform curricular change in computing education for engineering: The cpace project,"Vergara, Claudia E. and Urban-Lurain, Mark and Briedis, Daina and Buch, Neeraj and Sticklen, Jon and Wolff, Thomas and Dresen, Cindee and Coxen, Tammy and Farlane, Taryn Mac and Frazier, Kysha and Laprad, Jeannine and Paquette, Louise",2009
Computational Modeling in Complex Multinational Domains,H. A. Klein,2009
Product modeling beyond information,L. Horvath; I. J. Rudas,2009
The profession of IT: Beyond computational thinking,"Denning, Peter J.",2009
Aligning computing education with engineering workforce computational needs: New curricular directions to improve computational thinking in engineering graduates,"Vergara, Claudia E. and Urban-Lurain, Mark and Dresen, Cindee and Coxen, Tammy and MacFarlane, Taryn and Frazier, Kysha and Briedis, Daina and Buch, Neeraj and Esfahanian, Abdol-Hossein and Paquette, Louise and Sticklen, Jon and Laprad, Jeannine and Wolff, Thomas F.",2009
Design Assistant with Neural Networks,H. Yuemin; J. Linhong,2009
Computational thinking through programming and algorithmic art,"Orr, Genevieve",2009
Creative Design Framework Based on Immune Computing,Y. Liu; F. Dong; R. Zhang; R. Xiao,2009
A preliminary study of novice and expert users' decision-making procedures during visual trade space exploration,"Wolf, David and Simpson, Timothy W. and Zhang, Xiaolong",2009
Changed demand for knowledge at enhanced product definition in PLM systems,L. Horváth; G. Szabó; I. J. Rudas,2009
Study of Modeling Technology of 3D Virtual Teacher in Virtual Learning Environment,H. Zhao; B. Sun,2009
Programming courses teaching method for ability enhancement of computational thinking,"Huang, Wenming and Deng, Zhenrong and Dong, Rongsheng",2009
Exploration of ability development of engineering and computational thinking skills in software engineering majors,"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng and Wen, Peizhi",2009
Spurring Design Thinking through Educational Weblogging,J. Bross; A. E. Acar; P. Schilf; C. Meinel,2009
The Method of Extracting Domain and Situation in Chinese Sentence Groups,X. Wei; Q. Zhang,2009
Making university education more like middle school computer club: Facilitating the flow of inspiration,"Repenning, Alexander and Basawapatna, Ashok and Koh, Kyu Han",2009
Justifications-on-demand as a device to promote shifts of attention associated with relational thinking in elementary arithmetic,"Molina, Marta and Mason, John",2009
"Neural architectures for thinking, reasoning and being conscious",J. G. Taylor; M. Hartley,2009
Leveraging workforce needs to inform curricular change in computing education for engineering: The CPACE project,"Vergara, Claudia E. and Mark, Urban-Lurain and Dresen, Cindee and Coxen, Tammy and MacFarlane, Taryn and Frazier, Kysha and Briedis, Daina and Buch, Neeraj and Paquette, Louise and Sticklen, Jon and LaPrad, Jeannine and Wolff, Thomas",2009
Justifications-on-Demand as a Device to Promote Shifts of Attention Associated With Relational Thinking in Elementary Arithmetic,Marta Molina and John Mason,2009
On the Influence of Region Mismatch at Training and Testing in Region-Related Concept Detection,Z. Gao; Z. Zhao; T. Liu; X. Nan; A. Cai,2009
Applying informatics knowledge to create 3D worlds,"Weigend, Michael",2009
A Model for CEO Strategic Leadership Evaluation Based on Information Entropy and Unascertained Measure,X. Gang; R. RongRong,2009
Computational thinking (CT): On weaving it in,"Curzon, Paul and Peckham, Joan and Taylor, Harriet and Settle, Amber and Roberts, Eric",2009
Ubiquitous Computational Thinking,P. B. Henderson,2009
"Building excitement, experience and expertise in computational science among middle and high school students","Jacobs, Patricia",2009
Discussion of ability cultivation of computational thinking in course teaching,"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng",2009
Study on the Enterprise Design Management of External Cooperation,S. Yao; Q. Guo,2009
Exploration of ability development of engineering and computational thinking skills in software engineering majors,Z. Deng; W. Huang; R. Dong; P. Wen,2009
"2009 IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC 2009",Sin Valor,2009
A Virtual Collaboration Design Environment Based on a Product-Oriented and User-Centred Computational Model,Q. Yang; M. Tang; S. Sun,2009
Programming Courses Teaching Method for Ability Enhancement of Computational Thinking,W. Huang; Z. Deng; D. Rongsheng,2009
Modeling criminal activity in Urban landscapes,"Brantingham, Patricia and Glässer, Uwe and Jackson, Piper and Vajihollahi, Mona",2009
Emotions as metarepresentational states of mind: Naturalizing the belief–desire theory of emotion,Rainer Reisenzein,2009
Supporting the development of multimodal writing and computational thinking skills through computer game creation,"Howland, Katy",2009
Pair Programming in Middle School,Linda Werner and Jill Denning,2009
Constructivist Computer Science Education Reconstructed,Meurig Beynon,2009
How can we teach computational literacy to all levels of students?,"Kim, SooHwan and Han, SeonKwan and Kim, HyeonCheol",2009
Qualification and quantification of fuzzy linguistic variables and fuzzy expressions,Y. Wang,2009
metaViz: Visualizing Computationally Identified Metaphors in Political Blogs,E. P. S. Baumer; J. Sinclair; D. Hubin; B. Tomlinson,2009
The development and implementation of a context-based curricular framework for computer science education in high schools,"Starr, Christopher W. and Bergman, Doug and Zaubi, Phil",2009
Neuron Model and its Realization for Semiconductor Neural Computer,W. Cao; H. Feng; L. Ding; J. Wang; S. Wang,2009
AgentCubes: Incremental 3D end-user development,Andri Ioannidou and Alexander Repenning and David C. Webb,2009
Pander to ponder,"Astrachan, Owen",2009
Ubiquitous computational thinking,"Henderson, Peter B.",2009
The Paradigms for the Inquiry in Decision Support System (DSS) and a Design Framework of Cognitive DSS,Y. Zhong; Y. Zhong,2009
Renaissance computing: An initiative for promoting student participation in computing,"Soh, Leen-Kiat and Samal, Ashok and Scott, Stephen and Ramsay, Stephen and Moriyama, Etsuko and Meyer, George and Moore, Brian and Thomas, William G. and Shell, Duane F.",2009
"On computational tools, computational thinking and computational methods","Zhang, Xiaofeng and Zou, Hailin",2009
Assessing the validity of a computational model of emotional coping,S. Marsella; J. Gratch; N. Wang; B. Stankovic,2009
A multidisciplinary approach towards computational thinking for science majors,"Hambrusch, Susanne and Hoffmann, Christoph and Korb, John T. and Haugan, Mark and Hosking, Antony L.",2009
Computing Across Curricula: The view of industry leaders,"Wiebe, Eric and Ho, Chia-Lin and Raubenheimer, Dianne and Bullard, Lisa and Joines, Jeff and Miller, Carolyn and Rouskas, George",2009
Aligning Computing Education with engineering workforce computational needs: New curricular directions to improve computational thinking in engineering graduates,C. E. Vergara; M. Urban-Lurain; C. Dresen; T. Coxen; T. MacFarlane; K. Frazier; D. Briedis; N. Buch; A. -H. Esfahanian; L. Paquette; J. Sticklen; J. LaPrad; T. F. Wolff,2009
Comment,Deborah Nolan and Duncan Temple Lang,2009
Automatic classification of human values: Applying computational thinking to information ethics,"Fleischmann, Kenneth R. and Oard, Douglas W. and Cheng, An-Shou and Wang, Ping and Ishita, Emi",2009
CPATH: Distributed expertise - Collaborating with other disciplines,"Cassel, Lillian N. and Way, Thomas and Potluri, Sridhara",2009
Education: Human computing skills: Rethinking the K-12 experience,"Fletcher, George H. L. and Lu, James J.",2009
Design and Implementation of HPC-Based Research-Oriented Learning Environment for Structural Chemistry,X. Liu; H. -m. Guo; C. -g. Meng,2009
Language-based support for computational thinking,K. Howland; J. Good; K. Nicholson,2009
Using computational tools to enhance problem solving,"Raubenheimer, Dianne and Joines, Jeff and Craig, Amy",2009
First international workshop on software research and climate change,"Easterbrook, Steve M.",2009
The present and future of computational thinking,"Astrachan, Owen and Hambrusch, Susanne and Peckham, Joan and Settle, Amber",2009
Thinking about computational thinking,"Lu, James J. and Fletcher, George H.L.",2009
"On Computational Tools, Computational Thinking and Computational Methods",X. Zhang; H. Zou,2009
Language-based support for computational thinking,"Howland, Katy and Good, Judith and Nicholson, Keiron",2009
Notice of Retraction: Probe into the Teaching of Probability Theory and Stochastic Process,C. -x. Li; S. -m. Zhang,2009
From the editors: Computational thinking ⋯ and doing,"Thiruvathukal, George K.",2009
Discussion of Ability Cultivation of Computational Thinking in Course Teaching,Z. Deng; W. Huang; R. Dong,2009
Performance of distributed apriori algorithms on a computational grid,S. S. Rawat; L. Rajamani,2009
Teaching computational thinking through bioinformatics to biology students,"Qin, Hong",2009
Thinking about Computational Thinking,"Lu, James J. and Fletcher, George H.L.",2009
The Use of WebQuest to Enhance English-Chinese Bilingual Education: A Case Study in a Course in Computer Science Overview,S. Fan; J. Song; Y. Zhang; Z. He,2009
Introductory computational science using MATLAB and image processing,D. Brian Larkins and William Harvey,2010
"Research and practice on teaching mode of ""introduction to computer science"" in business-education partnership","Zhou, Xue-Yan and Ren, Xiang-Min",2010
Having fun with computer programming and games: Teacher and student experiences,"McInerney, Clare",2010
Assessing and refining an undergraduate computational science curriculum,"Manson, J. Russell and Olsen, Robert J.",2010
Work in progress - The video scenario approach for developing computational and entrepreneurial thinking skills,"Spezialetti, Madalene",2010
Troubleshooting assessment: An authentic problem solving activity for it education,"Webb, David C.",2010
The TangibleK robotics program: Applied computational thinking for young children,"Bers, Marina U.",2010
Using Scalable Game Design to teach computer science from middle school to graduate school,"Basawapatna, Ashok R. and Koh, Kyu Han and Repenning, Alexander",2010
Integrating sustainability into undergraduate computing education,"Cai, Yu",2010
An architectural tool for managing innovation,"Ribeiro-Justo, George R.",2010
Fourth Workshop on Teaching Computational Science (WTCS 2010),A. Tirado-Ramos and A.B. Shiflet,2010
Notice of Retraction: A parallel dynamic convex hull algorithm based on the M2M model originated from thinking pattern of human beings,Yingpeng Zhang; Haozhong Chen; Shicai Hu; Kaige Wang; Yannan Yan,2010
Interdisciplinary computing education for the challenges of the future,"Amoussou, Guy-Alain and Boylan, Myles and Peckham, Joan",2010
Can computational thinking reduce marginalization in the future Internet?,"Wentworth, Peter",2010
International Telecommunication Union - Proceedings of the 2010 ITU-T Kaleidoscope Academic Conference: Beyond the Internet? Innovations for Future Networks and Services,Sin Valor,2010
When Systemizers Meet Empathizers: Universalism and the Prosthetic Imagination,Alan F Blackwell,2010
A computational introduction to STEM studies,"Freudenthal, Eric and Ogrey, Alexandria N. and Roy, Mary K. and Siegel, Alan",2010
Investigating Number Sense Among Students,Mohini Mohamed and Jacinta Johnny,2010
Preface,Peter M.A. Sloot and G. Dick {van Albada} and Jack Dongarra,2010
Using commercial-off-the-shelf video games to facilitate habits of mind: Spore™ in the seventh grade life science classroom,"Evans, Michael A.",2010
What everyone needs to know about computation,"Barr, John and Cooper, Steve and Goldweber, Michael and Walker, Henry",2010
Web-Based Learning Platforms Integrating Social Networking for Design Education at High Schools in China,H. Jiang; M. Tang,2010
Do all roads lead to Rome? (Or reductions for dummy travelers),"Kilpeläinen, Pekka",2010
Introductory computational science using MATLAB and image processing,"Larkins, D. Brian and Harvey, William",2010
Diagnostics and rubrics for assessing learning across the computational science curriculum,J. Russell Manson and Robert J. Olsen,2010
Notice of Retraction: Computational thinking in discrete mathematics,"Liu, Jinglei and Wang, Lihong",2010
Work in progress - Eliciting integrated understandings of high school STEM curricula through programming,"Freudenthal, Eric and Ogrey, Alexandria and Gonzalez, Rebeca Q.",2010
Diagnostics and rubrics for assessing learning across the computational science curriculum,"Manson, J. Russell and Olsen, Robert J.",2010
Do all roads lead to Rome? (Or reductions for dummy travelers),Pekka Kilpeläinen,2010
Research into Application of Interactive Whiteboard to Interactive Educational Mode,L. Zeng; M. Zuo; X. Lu,2010
Comparative study of engineering problem-solving models,A. Tiwari; A. K. Singh; S. K. Pandey; R. Chaturvedi; A. Chatterjee,2010
Digital Architectural Design as Exploration of Computable Functions,Toni Kotnik,2010
A computational introduction to STEM studies,"Freudenthal, Eric and Gonzalez, Rebeca and Hug, Sarah and Ogrey, Alexandria and Roy, Mary Kay and Siegel, Alan",2010
Transforming the instruction of introductory computing to engineering students,"Hurson, Ali R. and Sedigh, Sahra",2010
Assessing and refining an undergraduate computational science curriculum,J. Russell Manson and Robert J. Olsen,2010
"The baffling CS notions of ""as-if"" and ""don't-care""","Ginat, David",2010
Computational thinking across the curriculum: The power and the peril,"Panoff, Robert M.",2010
Work in progress — The video scenario approach for developing computational and entrepreneurial thinking skills,M. Spezialetti,2010
Applied Research on the Integration of Innovative Approaches and Decision-making Method Based on Engineering Technical Innovation Process,A. Zhang; G. Hou; Z. Wang,2010
BingBee @ RaglanRoad - A field trial with unattended educational kiosks,P. Wentworth,2010
Troubleshooting assessment: an authentic problem solving activity for it education,David C. Webb,2010
REACH platform - Remote ACcess to smart Home facility based computer science laboratory,"Chang, Carl K. and Yang, Hen-I and Svecs, Igors and Wong, Johnny",2010
P system with Innate Immunity,H. Sharaf; A. Badr; I. Farag,2010
"If -, you might be a computational thinker!","Garcia, Daniel D. and Lewis, Colleen M. and Dougherty, John P. and Jadud, Matthew C.",2010
SIGCSE'10 - Proceedings of the 41st ACM Technical Symposium on Computer Science Education,Sin Valor,2010
A preliminary study of novice and expert users' decision-making procedures during visual trade space exploration,"Wolf, David and Simpson, Timothy W. and Zhang, Xiaolong",2010
Computational thinking for the sciences: A three day workshop for high school science teachers,"Ahamed, Sheikh Iqbal and Brylow, Dennis and Ge, Rong and Madiraju, Praveen and Merrill, Stephen J. and Struble, Craig A. and Early, James P.",2010
"File references, trees, and computational thinking","Miller, Craig S. and Perkovic, Ljubomir and Settle, Amber",2010
Interpretation of parametric design,Ren Yiwei; Ren Xia,2010
"Integrating Mathematical Thinking, Abstract Thinking, and Computational Thinking",K. McMaster; B. Rague; N. Anderson,2010
A plea for modesty,"Hemmendinger, David",2010
The Research of Chinese Text Proofreading System Model,Y. Luo; J. Yu; X. Cheng,2010
Computational thinking in high school courses,"Allan, Vicki and Barr, Valerie and Brylow, Dennis and Hambrusch, Susanne",2010
Developing a community definition and teaching modules for computational thinking: Accomplishments and challenges,"Kranov, Ashley Ater and Bryant, Robert and Orr, Genevieve and Wallace, Scott A. and Zhang, Mo",2010
Integrating computational thinking into information systems and other curricula,"Chung, Wingyan and Yang, Seungwon and Fox, Edward A. and Sheetz, Steven D.",2010
Design optimization by discrete flow computing and Morse technique,X. Liu; W. Sun; J. Zhang,2010
Computation method investigation on thinking route,Yan Cui; Xin-Rong Li; Jun-Tao Wang,2010
The great principles of computing,"Denning, Peter J.",2010
Work in progress — What are you thinking? Over confidence in first year students,B. Hamlin; J. Riehl; A. J. Hamlin; A. Monte,2010
Research and practice on teaching mode of “Introduction to Computer Science” in Business-Education Partnership,Z. Xue-yan; R. Xiang-min,2010
A study on teaching method of reverse analysis in web animation design,Yanli Wei; Lili Zhou,2010
"An interdisciplinary undergraduate course bridging the gaps between engineering, science, and the arts","Wang, Yunfeng and Ault, Christopher and Nakra, Teresa and Salgian, Andrea and Stone, Meredith",2010
Educating the next generation of spammers,"Sommers, Joel",2010
Predictors of creative computing participation and profiles of experience in two Silicon Valley middle schools,Brigid Barron and Sarah E. Walter and Caitlin Kennedy Martin and Colin Schatz,2010
Knowledge Management in Computer-Supported Learning,L. Li; Y. Zheng; F. Zheng; S. Zhong,2010
"Bead games, or, getting started in computational thinking without a computer","Eisenberg, Michael",2010
Human habitat data in 3D for the internet,"Leberl, Franz",2010
Computing in the Statistics Curricula,Deborah Nolan and Duncan Temple Lang,2010
Towards the Automatic Recognition of Computational Thinking for Adaptive Visual Language Learning,K. H. Koh; A. Basawapatna; V. Bennett; A. Repenning,2010
MPCT - Media Propelled Computational Thinking,"Freudenthal, Eric Andrew and Roy, Mary K. and Ogrey, Alexandria Nicole and Magoc, Tanja and Siegel, Alan",2010
Deductive method with Sample Problems on Computational Object Knowledge Base and construct to intelligent educational softwares,N. V. Do; H. D. Nguyen,2010
Using a Computer Programming Environment and an Interactive Whiteboard to Investigate Some Mathematical Thinking,Merilyn Taylor and Ann Harlow and Michael Forret,2010
Technology-enhanced active learning in undergraduate biology education collaborative group work and peer assessment,Yuhua Hu; P. McLaughlin,2010
Can computational thinking reduce marginalization in the future Internet?,P. Wentworth,2010
Notice of Retraction: Computational Thinking in Discrete Mathematics,J. Liu; L. Wang,2010
