Title,Autor,Year
Computational thinking: expanding the toolkit,"Imberman, Susan P. and Sturm, Deborah and Azhar, Mohammad Q.",2014
Algorithmic thinking observation: How students of applied informatics break the mystery of black box applications,"Cápay, Martin",2014
Analyzing the Learning Process in Online Educational Game Design: A Case Study,"Ahmadi, Navid and Jazayeri, Mehdi",2014
China's perspective from the viewpoint of computational thinking on CS1 for non-majors (abstract only),"Zhang, Ming and Li, Bo and Lo, Ginnie",2014
Beyond Minecraft: Facilitating Computational Thinking through Modeling and Programming in 3D,"Repenning, Alexander and Webb, David C. and Brand, Catharine and Gluck, Fred and Grover, Ryan and Miller, Susan and Nickerson, Hilarie and Song, Muyang",2014
Cognitive outcomes from the Game-Design and Learning (GDL) after-school program,Mete Akcaoglu and Matthew J. Koehler,2014
Computational thinking curriculum development for upper elementary school classes,"Hill, Charlotte",2014
Computational Science for Undergraduate Biologists via QUT.Bio.Excel,Lawrence Buckingham and James M. Hogan,2014
A Qualitative Study of Students' Computational Thinking Skills in a Data-Driven Computing Class,"Yuen, Timothy T. and Robbins, Kay A.",2014
An implementation of design-based learning through creating educational computer games: A case study on mathematics learning during design and computing,Fengfeng Ke,2014
Computational thinking for all: the power and the peril,"Panoff, Robert Michael",2014
Character animation and embodiment in teaching computational thinking,"J\""{o}rg, Sophie and Leonard, Alison E. and Babu, Sabarish and Gundersen, Kara and Parmar, Dhaval and Boggs, Kevin and Daily, Shaundra Bryant",2014
Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,Marina Umaschi Bers and Louise Flannery and Elizabeth R. Kazakoff and Amanda Sullivan,2014
Collaboration and Computational Thinking: A classroom structure,"Worrell, Benjamin and Brand, Catharine and Repenning, Alexander",2015
Can computational thinking predict academic performance?,"Haddad, Rami J. and Kalaani, Youakim",2015
Bringing Computational Thinking to STEM Education,Samar I. Swaid,2015
A Gang Scheduling Computational Paradigm for Container Terminal Logistics with Processor Affinity,"Li, Bin and Shen, Weiming",2015
Code and tell: assessing young children's learning of computational thinking using peer video interviews with ScratchJr,"Portelance, Dylan J. and Bers, Marina Umaschi",2015
Assisting H1N1 and Ebola Outbreak Response through High Performance Networked Epidemiology,"Marathe, Madhav",2015
Aligning Enterprise Analytics to Business Process Capability Maturity,John Huffman and Lawrence E. Whitman,2015
Assessments for Computational Thinking in K-12 (Abstract Only),"Grover, Shuchi and Bienkowski, Marie and Snow, Eric",2015
A container terminal logistics computational architecture with MPSoC distributed cooperative computing perspective,"Bin, Li",2015
A Distributed Robot Garden System,"Sanneman, Lindsay and Ajilo, Deborah and DelPreto, Joseph and Mehta, Ankur and Miyashita, Shuhei and Poorheravi, Negin Abdolrahim and Ramirez, Cami and Sehyuk Yim and Kim, Sangbae and Rus, Daniela",2015
Bring CS2013 Recommendations into c Programming Course,Lingling Zhao and Xiaohong Su and Tiantian Wang,2015
A new way of teaching programming skills to K-12 students: Code.org,Filiz Kalelioğlu,2015
Approaches for teaching computational thinking strategies in an educational game: A position paper,"Bauer, Aaron and Butler, Eric and Popović, Zoran",2015
CodePlus — Designing an after school computing programme for girls,"Sullivan, K. and Byrne, J. R. and Bresnihan, N. and O'Sullivan, K. and Tangney, B.",2015
Cloud-hosted simulation-as-a-service for high school STEM education,Faruk Caglar and Shashank Shekhar and Aniruddha Gokhale and Satabdi Basu and Tazrian Rafi and John Kinnebrew and Gautam Biswas,2015
Abstracting Anonymization Techniques: A Prerequisite for Selecting a Generalization Algorithm,Feten Ben Fredj and Nadira Lammari and Isabelle Comyn-Wattiau,2015
A Work in Progress Paper: Evaluating a Microworlds-based Learning Approach for Developing Literacy and Computational Thinking in Cross-curricular Contexts,"Jenkins, Craig",2015
Computational thinking and impacts on K-12 science education,"Toedte, Ross J. and Aydeniz, Mehmet",2015
11 - For the mutual benefit: Health information provision in the science classroom,Albert Zeyer and Daniel M. Levin and Alla Keselman,2015
A Pilot Computer Science and Programming Course for Primary School Students,"Duncan, Caitlin and Bell, Tim",2015
Computational Thinking Curriculum for K-12 Education -- A Delphi Survey,"Chuang, Hui-Chi and Hu, Chiu-Fan and Wu, Cheng-Chih and Lin, Yu-Tzu",2015
Can embodied interaction and virtual peer customization in a virtual programming environment enhance computational thinking?,"Parmar, Dhaval and Babu, Sabarish V. and Lin, Lorraine and Jörg, Sophie and D'Souza, Nikeetha and Leonard, Alison E. and Daily, Shaundra B.",2016
A bilingual MOOC that teaches youngsters how to program: Analysis and reflections on one year of experiences,"de Kereki, Inés Friss and Paulós, J. Víctor and Manataki, Areti",2016
A case study of undergraduate engineering students' computational literacy and self-beliefs about computing in the context of authentic practices,Alejandra J. Magana and Michael L. Falk and Camilo Vieira and Michael J. Reese,2016
Blending Mobile Programming and Liberal Education in a Social-Economic High School,"Fronza, Ilenia and El Ioini, Nabil and Corral, Luis",2016
Computational Thinking as a Computer Science Education Framework and the Related Effects on Gender Equity,"Good, Jon",2016
Computational thinking: Panorama of the Americas,"Brackmann, Christian and Barone, Dante and Casali, Ana and Boucinha, Rafael and Muñoz-Hernandez, Susana",2016
Computational Thinking as a Liberal Study,"Mason, Dave and Khan, Irfan and Farafontov, Vadim",2016
Assessing Computational Thinking in Students' Game Designs,"Hoover, Amy K. and Barnes, Jackie and Fatehi, Borna and Moreno-Le\'{o}n, Jes\'{u}s and Puttick, Gillian and Tucker-Raymond, Eli and Harteveld, Casper",2016
Beyond the Lab: Using Technology Toys to Engage South African Youth in Computational Thinking,"Lin, Veronica and Shaer, Orit",2016
Can Computational Thinking help me? A quantitative study of its effects on education,"Rodrigues, Rivanilson S. and Andrade, Wilkerson L. and Campos, Livia M. R. Sampaio",2016
A Study on the Impact of Multidisciplinary Collaboration on Computational Thinking,"Pulimood, Sarah Monisha and Pearson, Kim and Bates, Diane C.",2016
Comparing computational thinking development assessment scores with software complexity metrics,"Moreno-León, Jesús and Robles, Gregorio and Román-González, Marcos",2016
A case study on cooperative problem solving processes in small 9th grade student groups,"Standl, Bernhard",2016
Advancing students’ computational thinking skills through educational robotics: A study on age and gender relevant differences,Soumela Atmatzidou and Stavros Demetriadis,2016
Code puzzles - Robot Chronicle,"Nikaido, Breeana and Ventura, John",2016
Code Bits: An Inexpensive Tangible Computational Thinking Toolkit For K-12 Curriculum,"Goyal, Sidhant and Vijay, Rohan S. and Monga, Charu and Kalita, Pratul",2016
A brief introduction to TACCLE 3 — coding European project,"García-Peñalvo, Francisco J.",2016
A Summer Computing Camp Using ChainReaction and jABC,"Lamprecht, Anna-Lena and Margaria, Tiziana and McInerney, Clare",2016
Chapter 1 - Shifting Research Paradigms Toward Research 2.0,Tibor Koltay and Sonja Špiranec and László Z. Karvalics,2016
Capacity of Non-Malleable Codes,"Cheraghchi, Mahdi and Guruswami, Venkatesan",2016
An Experience Report on Teaching Programming and Computational Thinking to Elementary Level Children Using Lego Robotics Education Kit,"Chaudhary, Vidushi and Agrawal, Vishnu and Sureka, Pragya and Sureka, Ashish",2016
Code to learn with Scratch? A systematic literature review,"Moreno-León, Jesús and Robles, Gregorio",2016
A survey of resources for introducing coding into schools,"Garc\'{\i}a-Pe\~{n}alvo, Francisco J. and Rees, Angela Marie and Hughes, Jenny and Jormanainen, Ilkka and Toivonen, Tapani and Vermeersch, Jens",2016
Competency based IT experienes,"Li, Chengcheng and Said, Hazem and Michael, Rebekah and Johnson, Marcus and Meyer, Helen",2016
A systematic mapping study on assessing computational thinking abilities,"de Araujo, Ana Liz Souto O. and Andrade, Wilkerson L. and Serey Guerrero, Dalton D.",2016
Collaboration and Gender Equity in Game-Based Learning for Middle School Computer Science,"Buffum, Philip Sheridan and Frankosky, Megan and Boyer, Kristy Elizabeth and Wiebe, Eric N. and Mott, Bradford W. and Lester, James C.",2016
Computational Model of the Tangled Web,Viacheslav E. Wolfengagen and Larisa Yu. Ismailova and Sergey Kosikov,2016
"Computational thinking beyond STEM: an introduction to ""moral machines"" and programming decision making in ethics classroom","Seoane-Pardo, Antonio M.",2016
A study of constructing K-12 programming competence indicators,"Lai, Ah-Fur",2017
A Framework for Using Hypothesis-Driven Approaches to Support Data-Driven Learning Analytics in Measuring Computational Thinking in Block-Based Programming Environments,"Grover, Shuchi and Basu, Satabdi and Bienkowski, Marie and Eagle, Michael and Diana, Nicholas and Stamper, John",2017
Chapter 1 - Introduction,David B. Kirk and Wen-mei W. Hwu,2017
Assessing primary school students' intrinsic motivation of computational thinking,"Jiang, Shan and Wong, Gary K.W.",2017
Block-oriented programming with tangibles: An engaging way to learn computational thinking skills,"Malizia, Alessio and Turchi, Tommaso and Olsen, Kai A.",2017
Co-robotics hands-on activities: A gateway to engineering design and STEM learning,Saeedeh Ziaeefard and Michele H. Miller and Mo Rastgaar and Nina Mahmoudian,2017
Comparing Outcomes Across Different Contexts in CS1,"Maxwell, Bruce A. and Taylor, Stephanie R.",2017
Chapter 4 - Memory and data locality,David B. Kirk and Wen-mei W. Hwu,2017
A computing education approach for geography students in context of GIS,"Knobelsdorf, Maria and Otto, Jonathan and Sprenger, Sandra",2017
Computational Thinking App Design Mat: Supporting the Development of Students' Computational Thinking Skills (Abstract Only),"Jimenez, Yerika and Hays, Theodore and Gardner-McCune, Christina",2017
Automated Personalized Feedback in Introductory Java Programming MOOCs,"Marin, Victor J. and Pereira, Tobin and Sridharan, Srinivas and Rivero, Carlos R.",2017
Computational Creativity Exercises: An Avenue for Promoting Learning in Computer Science,"Peteranetz, Markeya S. and Flanigan, Abraham E. and Shell, Duane F. and Soh, Leen-Kiat",2017
An Empirical Study on Blended Learning to Promote the Development of Computational Thinking Ability of College Students,"Liao, Lihua and Liang, Jin",2017
A validity and reliability study of the computational thinking scales (CTS),Özgen Korkmaz and Recep Çakir and M. Yaşar Özden,2017
A remix-oriented approach to promoting student engagement in a long-term participatory learning program,Chen-Chung Liu and Wei-Chen Chen and Hung-Ming Lin and Yun-Yin Huang,2017
Bringing computational thinking to teachers' training: a workshop review,"Dodero, Juan Manuel and Mota, Jos\'{e} Miguel and Ruiz-Rube, Iv\'{a}n",2017
Advanced Computing for Social Change: Educating and Engaging Our Students to Compete in a Changing Workforce,"Gaither, Kelly and Gomez, Rosalia and Akli, Linda and Mendenhall, Ruby and Bland, Marques and Fratkin, Susan and Rivera, Lorna and DeStefano, Lizanne",2017
A simulation and optimization based method for calibrating agent-based emergency department models under data scarcity,Zhengchun Liu and Dolores Rexachs and Francisco Epelde and Emilio Luque,2017
A Visualization Tool to Support Analyzing and Evaluating Scratch Projects,"Chang, Chih-Kai and Tsai, Yu-Tzu and Chin, Ya-Lun",2017
Assessing elementary students’ computational thinking in everyday reasoning and robotics programming,Guanhua Chen and Ji Shen and Lauren Barth-Cohen and Shiyan Jiang and Xiaoting Huang and Moataz Eltoukhy,2017
Building a Community of Practice to Prepare the HPC Workforce,Katharine J. Cahill and Scott Lathrop and Steven Gordon,2017
CloudDB: Components for exploring shared data with MIT app inventor,"Lao, Natalie",2017
Automated Personalized Assessment of Computational Thinking MOOC Assignments,"Jamil, Hasan M.",2017
Computational thinking: what does it really mean for the K-16 computer science education community,"Hoskey, Arthur and Zhang, Sen",2017
An approach based on Embodied Programming to teach computer science at a Secondary School,"Cornejo, Maria Eda and Sommer, Sonia and Rodríguez, Jorge",2017
Authoring feedback for novice programmers in a block-based language,"Gusukuma, Luke and Kafura, Dennis and Bart, Austin Cory",2017
Bringing computational thinking to the digital humanities: introducing students to explorations of digitized texts,"LeBlanc, Mark D.",2017
Computational thinking and mental models: From kodu to calypso,"Touretzky, David S.",2017
AgentDesign: A tool to scaffold software design for elementary students,"Horses, Ian Her Many",2017
Computational thinking and Relational Algorithmic Approach,"Altaher, Marah and Ferchichi, Ahmed",2017
Computational Thinking (CT) and Rebel game Design: CT in health games,"Lim, HC",2017
An operationalized model for defining computational thinking,"Lowe, Tony and Brophy, Sean",2017
Computational thinking for teacher education,"Yadav, Aman and Stephenson, Chris and Hong, Hai",2017
Bebras as a Teaching Resource: Classifying the Tasks Corpus Using Computational Thinking Skills,"Lonati, Violetta and Malchiodi, Dario and Monga, Mattia and Morpurgo, Anna",2017
CodeFruits: Teaching Computational Thinking Skills Through Hand Gestures,"Goyal, Sidhant and Chopra, Simran and Mohanan, Dileep",2017
A framework for hypothesis-driven approaches to support data-driven learning analytics in measuring computational thinking in block-based programming,"Grover, Shuchi and Bienkowski, Marie and Basu, Satabdi and Eagle, Michael and Diana, Nicholas and Stamper, John",2017
Case for Integrating Computational Thinking and Science in a Low-Resource Setting,"Gautam, Aakash and Bortz, Whitney Elaine Wall and Tatar, Deborah",2017
Computational thinking as an emergent learning trajectory of mathematics,"Niemel\""{a}, Pia and Partanen, Tiina and Harsu, Maarit and Lepp\""{a}nen, Leo and Ihantola, Petri",2017
An Exploratory Study on the Influence of Cognitive and Affective Characteristics in Programming-Based Making Activities,"Pappas, Ilias O. and Papavlasopoulou, Sofia and Giannakos, Michail N. and Sampson, Demetrios G.",2017
Bee and Frog Co-Evolution Algorithm and its application,Hong-bo Wang and Xue-Na Ren and Xu-yan Tu,2017
A first proposal of Pedagogic Conversational Agents to develop Computational Thinking in children,"Urrutia, Elizabeth K. Morales and Oca\~{n}a, Jos\'{e} Miguel and P\'{e}rez-Mar\'{\i}n, Diana and Tamayo, Silvia",2017
Behavioral patterns of elementary students and teachers in one-to-one robotics instruction,Sevda Kucuk and Burak Sisman,2017
Chapter 9 - Building Knowledge Together: Interactive Course Exhibits in the Academic Library,S. Fralin and B. Mathews and L. Pressley,2017
Chapter 15 - Application case study—molecular visualization and analysis,John Stone,2017
Chapter 17 - Parallel programming and computational thinking,David B. Kirk and Wen-mei W. Hwu,2017
Chapter 21 - Conclusion and outlook,David B. Kirk and Wen-mei W. Hwu,2017
A Model of Cultivating Computational Thinking Based on Visual Programming,"Xiao, Min and Yu, Xiaohua",2017
Chapter 14 - Application case study—non-Cartesian magnetic resonance imaging: An introduction to statistical estimation methods,David B. Kirk and Wen-mei W. Hwu,2017
Assessing Computational Thinking in CS Unplugged Activities,"Rodriguez, Brandon and Kennicutt, Stephen and Rader, Cyndi and Camp, Tracy",2017
Chapter 21 - Aesthetic Computing*,Paul A. Fishwick,2017
A Didactic Scenario for Implementation of Computational Thinking using Inquiry Game Learning,"Psycharis, Sarantos and Kotzampasaki, Evangelia",2017
A co-creativity theoretical framework to foster and evaluate the presence of wise humanising creativity in virtual learning environments (VLEs),Chris Walsh and Kerry Chappell and Anna Craft,2017
A Web-Based learning activity integrated with scratch tool to support programming learning,"Su, Jun-Ming and Wang, Sin-Jie",2017
Chapter 10 - Transferable Skills: How to Describe What You Really Know,Nathan L. Vanderford,2017
Computational thinking as springboard for learning object-oriented programming in an interactive MOOC,"Krugel, Johannes and Hubwieser, Peter",2017
Assessing implicit computational thinking in zoombinis gameplay,"Rowe, Elizabeth and Asbell-Clarke, Jodi and Gasca, Santiago and Cunningham, Kathryn",2017
A Free-Choice Social Learning Network for Computational Thinking,"Jamil, Hasan",2018
Alg-Design: Facilitates to Learn Algorithmic Thinking for Beginners,"Vinayakumar, R and Soman, KP and Menon, Pradeep",2018
ALGO-THINK Approach,"Altaher, Marah and Ferchichi, Ahmed",2018
"Blended Learning of ""Data Structure"" Course Based on Computational Thinking","Tang, Yanqin and Chen, Weiwei and Li, Zhigang and Shi, Lei and Wu, Yongfen",2018
"A Proposal for the Global and Collaborative PBL Learning Environment Where All Global Members on Different Campuses Are ""On the Same Page"" throughout the Process of Learning in the Project","Yamamoto, Tosh and Liao, Anthony and Wu, Wen-Chi Vivian and Shih, Meilun and Shih, Ju-Ling and Chu, Hui-Chun",2018
A teaching scheme using forerun computing-culture cases for computational-thinking oriented course,"Xu, Yiyi and Liu, Pengfei and Zhao, Jun",2018
BlockyTalky: New programmable tools to enable students’ learning networks,Annie Kelly and Lila Finch and Monica Bolles and R. Benjamin Shapiro,2018
A computational thinking course accessible to non-stem majors,"Kafura, Dennis and Bart, Austin Cory and Chowdhury, Bushra",2018
A new perspective on computational thinking,"Ya\c{s}ar, Osman",2018
Analysis of Collaborative Learning in a Computational Thinking Class,"Chowdhury, Bushra and Bart, Austin Cory and Kafura, Dennis",2018
A conceptual model for cooperative thinking,"Russo, Daniel and Missiroli, Marcello and Ciancarini, Paolo",2018
Active Learning Environments with Robotic Tangibles: Children's Physical and Virtual Spatial Programming Experiences,"Burleson, Winslow S. and Harlow, Danielle B. and Nilsen, Katherine J. and Perlin, Ken and Freed, Natalie and Jensen, Camilla Nørgaard and Lahey, Byron and Lu, Patrick and Muldner, Kasia",2018
Breakdowns in children's interactions with a robotic tutor: A longitudinal study,Sofia Serholt,2018
Artistic Activity Through Computational Thinking,"Deng, Tzong Sheng",2018
A Methodology Proposal Based on Metaphors to Teach Programming to Children,"Pérez-Marín, Diana and Hijón-Neira, Raquel and Martín-Lope, Mercedes",2018
Automating the Detection of Personally Identifiable Information (PII) in Japanese-American WWII Incarceration Camp Records,"Marciano, Richard and Underwood, William and Hanaee, Mohammad and Mullane, Connor and Singh, Aakanksha and Tethong, Zayden",2018
Analysis of publication activity of computational science society in 2001–2017 using topic modelling and graph theory,Tesfamariam M. Abuhay and Sergey V. Kovalchuk and Klavdiya Bochenina and Gali-Ketema Mbogo and Alexander A. Visheratin and George Kampis and Valeria V. Krzhizhanovskaya and Michael H. Lees,2018
9 - Transportation Cyber-Physical System as a Specialised Education Stream,Michael Henshaw and Lipika Deka,2018
An Automated Evaluation System for App Inventor Apps,"Li, Yue and Pan, Yiqing and Liu, Wensheng and Zhang, Xingming",2018
A visual programming environment for introducing distributed computing to secondary education,Brian Broll and Ákos Lédeczi and Hamid Zare and Dung Nguyen Do and János Sallai and Péter Völgyesi and Miklós Maróti and Lesa Brown and Chris Vanags,2018
A Tool for the Introduction of Programming and Computational Thinking with Motivation using Virtual Reality,"Barbosa Raposo, Alberto and Curasma, Herminio Paucar",2018
A Mapping Study of Computational Thinking and Programming in Brazilian K-12 Education,"Santos, Priscila S. C. and Araujo, Luis Gustavo J. and Bittencourt, Roberto A.",2018
Computational Thinking Between Philosophy and STEM—Programming Decision Making Applied to the Behavior of “Moral Machines” in Ethical Values Classroom,"Seoane Pardo, Antonio Miguel",2018
Analysis of the relation between computational thinking skills and various variables with the structural equation model,Hatice Yildiz Durak and Mustafa Saritepeci,2018
Assessing Learning Behavior and Cognitive Bias from Web Logs,"Rao, Rashmi Jayathirtha and Stewart, Christopher and Perez, Arnulfo and Renganathan, Siva Meenakshi",2018
Comparison between the use of pseudocode and visual programming in programming teaching: An evaluation from scratch tool,"Rezende, Críscilla M. C. and Bispo, Esdras L.",2018
Computational Creativity Exercises for Improving Student Learning and Performance: (Abstract Only),"Soh, Leen-Kiat and Ingraham, Elizabeth and Shell, Duane F.",2018
A Systematic Review on the use of LEGO® Robotics in Education,"Souza, Isabelle M. L. and Andrade, Wilkerson L. and Sampaio, Lívia M. R. and Araujo, Ana Liz Souto O.",2018
A systematic review on teaching and learning robotics content knowledge in K-12,Liying Xia and Baichang Zhong,2018
Computational thinking for all: an experience report on scaling up teaching computational thinking to all students in a major city in Sweden,"Heintz, Fredrik and Mannila, Linda",2018
Computational Thinking for All: An Experience Report on Scaling up Teaching Computational Thinking to All Students in a Major City in Sweden,"Heintz, Fredrik and Mannila, Linda",2018
Building-Blocks: Generating 3D Design by Snapping Blocks,"Vinayakumar, R and Soman, KP and Menon, Pradeep",2018
A Study on the Assessment of Introductory Computational Thinking via Scratch Programming in Primary Schools,"Fagerlund, Janne",2018
Can computational talent be detected? Predictive validity of the Computational Thinking Test,Marcos Román-González and Juan-Carlos Pérez-González and Jesús Moreno-León and Gregorio Robles,2018
Co-de: an online learning platform for computational thinking,"Van de Staey, Zimcke and Verlinde, Tobias and Demoen, Bart and Martens, Bern",2018
COCONATS: Combining Computational Thinking Didactics and Software Engineering in K-12,"Colombi, Alessandro and Fronza, Ilenia and Pahl, Claus and Basso, Demis",2018
