0,1,2,3
3CPEs: Concrete Computational Concepts Programming Environments for Elementary Computer Science Education,"Sung, Ching-Ying and Cherng, Fu-Yin and Chiu, Yi-Lun and Chen, Peng-Hsi and Chen, Bing-Yu",2024,"This study introduces the Concrete Computational Concepts Programming Environments (3CPEs), an innovative approach designed to help elementary students grasp abstract computational concepts through concrete metaphors using tangible and everyday objects. Traditional programming environments for children focus on concrete programming language syntax and semantics yet often fall short in conveying advanced computational concepts. To address this gap, 3CPEs combine the hands-on appeal of computer-science unplugged activities with the versatility of programming environments, using familiar objects and gamified elements to visualize abstract computational and algorithmic ideas. An example is CT (Computational Thinking) Chef, a 3CPEs implementation to enhance elementary students’ understanding of programming concepts. Through design workshops with five elementary programming teachers, we preliminarily identified teaching challenges and evaluated 3CPEs’ efficacy as an educational tool. The feedback underscores CT Chef’s potential in facilitating the teaching of intricate computational concepts for young learners."
3rd International workshop on collaborative teaching of globally distributed software development (CTGDSD 2013),"Faulk, Stuart and Young, Michal and Prikladnicki, Rafael and Weiss, David M. and Yu, Lian",2013,Sin Valor
4 COMPUTER SCIENCE,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
5 - Using gray numbers as tools for assessment and linear programming,Michael Gr. Voskoglou,2025,"The gray system (GS) theory, introduced by Ju-Long Deng in 1982, is an alternative to the fuzzy systems' approach for managing the existing in real world uncertainties. Gray numbers (GNs), which are defined with the help of the closed real intervals, are the tools for performing all the necessary calculations in GS theory. This Chapter studies applications of GNs to assessment and to linear programming and presents examples illustrating their use in real world situations."
5 SOFTWARE ENGINEERING,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
6 DESIGNING FOR HUMANS,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
7 - Basic models,Erik Cuevas and Karla Avila and Miguel Islas Toski and Héctor Escobar,2025,"In this chapter, we will delve into the art of constructing agent-based models (Helbing, 2012). Agent-based modeling is a powerful and versatile tool that allows us to simulate complex systems by representing individual agents and their interactions within a given environment. Here, we will take a step-by-step approach, starting with classic models and gradually moving toward creating customized versions. By understanding how these models work and learning how to modify and extend them, we will gain valuable insights into alternative scenarios and even uncover entirely new phenomena."
7 COMPUTATIONAL SCIENCE,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
8 Computational Heterogeneity: A Radical Reflection,"Sengupta, Pratim and Dickes, Amanda and Farris, Amy Voss",2021,Sin Valor
8 TEACHING COMPUTATIONAL THINKING FOR ALL,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
9 - Transportation Cyber-Physical System as a Specialised Education Stream,Michael Henshaw and Lipika Deka,2018,"Transportation Cyber-Physical Systems (TCPS) is a major area of growth and investment in many countries, but there is a significant shortage of engineers with the correct skills to build safe, secure and efficient TCPS. It is suggested that a much broader education is required in cyber-physical system (CPS) than has traditionally been the case for degree and masters' level students. CPS developers will need to be knowledgeable about natural, applied and social sciences. The curriculum for a TCPS engineer emerges as a vast range of knowledge requirements and it is suggested that ideally students will graduate with a T-shaped curriculum vitae that provides for a broad knowledge of many subjects and a deep knowledge in one or two. Studies into the appropriate curriculum for CPS have been conducted since the early 2000s, but it is noted that many of these failed to give adequate weight to ethics and topics in the social sciences. A framework for TCPS graduate and postgraduate education is provided: delivery of the curriculum must ensure students are taught in a transdisciplinary manner and develop an holistic approach to TCPS development and operation."
9 FUTURE COMPUTATION,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
A BIBLIOMETRIC AND CONTENT ANALYSIS OF CRITICAL THINKING IN PRIMARY EDUCATION,Ayten Aktoprak and Cigdem Hursen,2022,"Critical thinking is an effective skill that allows students to be successful in the continually changing world by playing a role in their thinking development. Although the significance of critical thinking in primary education has been discussed in many studies, the number of studies conducted on the subject is limited. This study aims to systematically review and analyse the literature by taking a holistic approach to previous studies in order to clearly identify the gaps in the field and the steps to be taken for future studies. In this context, two different analysis methods were employed in the study. This review aims to reveal information that has not been fully captured or evaluated previously, including information related to important sources, documents, countries, and keywords used in the field. According to the results obtained from the study, the country with the highest publication performance is the United States of America, and the most cited publication source is the Journal of Thinking Skills and Creativity. The most frequently studied concepts in the documents are identified as 21st century skills, assessment, creativity, learning, teaching, teacher, education, and primary school. Another result obtained reveals that articles on critical thinking, which increased between 2015 and 2020, mostly discussed critical thinking in the fields of mathematics and science education. Studies that examine the development of critical thinking skills through the implementation of different teaching methods are particularly in the majority. According to the analysis results of the article methodologies, it is revealed that the majority are based on the qualitative research approach, the criterion sampling method is used with small sample groups, and the most preferred data collection tool is the document. In addition to revealing the current status regarding the research tendencies of critical thinking in primary education, these results have the potential to guide researchers, countries and primary school teachers working in the field."
A BIM-based intelligent approach to rebar layout optimization for reinforced concrete columns,Daniel Darma Widjaja and Titi Sari Nurul Rachmawati and Sunkuk Kim,2025,"This study aims to address inefficiencies and errors in current manual rebar practices within the architecture, engineering, and construction (AEC) industry, which contribute to significant rebar waste. The Design-Bid-Build (DBB) project delivery method further exacerbates these issues by hindering effective stakeholder collaboration. By contrast, integrated project delivery and building information modeling (BIM) have shown potential for enhanced coordination and waste reduction. Yet, the continued reliance on manual rebar modeling in BIM highlights a pressing need for intelligent automation. This study presents a novel BIM-based algorithm that leverages Dynamo for rebar layout optimization and Navisworks for automatic clash detection, integrating rebar optimization prior to BIM model creation to minimize data exchange errors. The methodology was validated on a continuous-column rebar arrangement, supported by a standardized rebar summary sheet to streamline the optimization and clash-detection process. Key findings indicate that this approach significantly reduces working hours while achieving high modeling accuracy compared to traditional manual methods. These results highlight the potential of the proposed framework to transform rebar layout practices, enabling smart, efficient, and sustainable construction through automated clash-free rebar layout generation."
A Case Study in Creating Transparency in Using Cultural Big Data: The Legacy of Slavery Project,"Cox, Ryan and Shah, Sohan and Frederick, William and Nelson, Tammie and Thomas, Will and Jansen, Greg and Dibert, Noah and Kurtz, Michael and Marciano, Richard",2018,Sin Valor
A Case Study of Middle Schoolers' Use of Computational Thinking Concepts and Practices during Coded Music Composition,"Zhang, Yifan and Krug, Douglas Lusa and Mouza, Chrystalla and Shepherd, David C. and Pollock, Lori",2022,"Researchers and practitioners have demonstrated various benefits of introducing computational thinking (CT) through music composition coding. While researchers have studied the impacts on participant attitudes towards CT and their learning of CT concepts, more case studies are needed on both learning CT concepts as well as CT practices, i.e., the processes of constructing music coding projects. This paper presents a case study of middle schoolers in an informal learning environment focused on integrating music composition with coding in TunePad. Specifically, we collected and analyzed logs of coding events, final code products, and surveys to explore both CT concept use and CT practices exhibited by the participants as they completed open-ended music coding activities to create their own melodies with specific music and CT requirements and recommendations."
A Case Study on Learning Visual Programming With TutoApp for Composition of Tutorials: An Approach for Learning by Teaching,"Paredes-Velasco, Maximiliano and Lozano-Osorio, Isaac and Pérez-Marín, Diana and Santacruz-Valencia, Liliana Patricia",2024,Sin Valor
A Collaborative Approach to Integrate Computational Thinking in an Integrated STEM Curriculum,"Yang, Dazhi and Feng, Shi",2022,Sin Valor
A Collaborative Game-Based Learning Framework to Improve Computational Thinking Skills,"Jesus, Ângelo Magno de and Silveira, Ismar Frango",2019,Sin Valor
A Comparative Analysis of Tools &amp; Task Types for Measuring Computational Problem-Solving,"Bumbacher, Engin and Brender, J\'{e}r\^{o}me and Davis, Richard Lee",2024,"How to measure students' Computational Problem-Solving (CPS) competencies is an ongoing research topic. Prevalent approaches vary by measurement tools (e.g., interactive programming, multiple-choice tests, or programming-independent tests) and task types (e.g., debugging problems or Parson problems). However, few studies have examined the measurement tools of CPS competencies themselves: affordances and limitations of the measurement tools and how they compare, or whether different task types might elicit CPS competencies differently. Research needs to address these questions in order to better understand how to design robust, generalizable, and effective measurement tools for CPS competencies. This paper presents an exploratory study that contributes to this research direction. It is part of a larger international project to develop an open-access formative assessment platform for CPS, which includes a novel authoring tool for a wide range of task types for interactive block-based programming. We used the tool to create an interactive programming experience with multiple task types and gave it to more than 300 secondary school students from different countries. We also administered a validated multiple-choice measurement of Computational Thinking with block-based programs. We focused on task complexity as a characteristic of task type, using a classification scheme based on task design features. Comparing students' performances on tasks of different complexity and using two distinct measurement tools, we found that the multiple-choice measurement only partially predicts performance in the interactive programming task. Additionally, its predictive capacity varies significantly between task types of differing complexity."
A Computation Model for Learning Programming and Emotional Intelligence,"Rafique, Memoona and Hassan, Muhammad Awais and Jaleel, Abdul and Khalid, Hina and Bano, Gulshan",2020,Sin Valor
A Computational Inflection for Scientific Discovery,"Hope, Tom and Downey, Doug and Weld, Daniel S. and Etzioni, Oren and Horvitz, Eric",2023,Enabling researchers to leverage systems to overcome the limits of human cognitive capacity.
A Computational Thinking Assessment Tool on Text- Based Programming,"Wang, Jihan and Zhang, Wei and Zeng, Xinyao and Li, Panpan",2023,Sin Valor
A Computational Thinking Course for Pre-Service Teachers,"Oliveira, Eduardo C. and Correia, Ronaldo C. M. and Azevedo, Rodolfo and Telles, Simone and Macedo, Alessandra A. and Bittencourt, Roberto A.",2022,Sin Valor
A Computational Thinking Obstacle Course Based on Bebras Tasks for K-12 Schools,"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",2023,"This paper describes an unplugged computational thinking (CT) resource for primary and secondary schools developed from Bebras tasks. In Ireland, CT is not part of the primary school curriculum or mandatory in secondary schools. However, the National Council for Curriculum and Assessment is in the process of revising the primary school curriculum to include aspects of CT. Our aim for creating this CT Obstacle Course is to introduce teachers (and pupils) without formal computer science training to the subject of CT. This is done in a manner that informs and motivates, and gives them the confidence to deliver CT materials in the classroom. We also want to find out from teachers how useful and important this type of resource is for developing problem-solving skills, and if our unplugged activity can support learning at various skill levels. Our CT Obstacle Course includes 14 Bebras tasks for primary schools and an additional 6 Bebras tasks for secondary schools. The activity is suitable for indoors and outdoors and is completed in groups, promoting teamwork and communication. We have delivered it to 146 primary school classes during 38 school visits between May 2021 and June 2022. It has been undertaken by 3,445 pupils and 195 teachers and other school staff. This paper describes our CT resource in detail, and reports teacher feedback from primary schools."
A Computational Thinking Test for Senior High School Students,"Hu, Chiu-Fan and Wu, Cheng-Chih",2023,"We have developed a quantitative tool for assessing senior high school students' computational thinking skills and administered it in the Taipei metropolitan area of Taiwan. Our CT test is language/tool/knowledge-independent and focuses on four key CT concepts: decomposition, data representation, algorithms, and pattern generalization. Our paper outlines the development process of the CT test, including its constructs, reliability, and validity, and discusses its educational implications for computing courses. This CT test provides a valuable resource for computing teachers who wish to assess their students' CT abilities and tailor their teaching methods accordingly."
A Computational-thinking-oriented Progressive Teaching Mode for Python Course,"Ren, Haodong and Yang, Li and Jiang, Liheng and Bai, Yu and Lu, Wei and Chang, Jie",2021,Sin Valor
A Computer Scientist Teaches Gen Ed Math,"Winter, Victor and Love, Betty and Friend, Michelle and Matthews, Michael",2019,Sin Valor
A Data-Driven Approach to Reparative Description at the University of Chicago,"Gosselar, Ashley",2022,Sin Valor
A Design and Development of Internet of Things (IoT) System and Learning Activity to Promote Computational Thinking,"Sonsilphong, Suphachoke and Sonsilphong, Amornthep and Hormdee, Daranee and Sae-Joo, Phongthanat",2022,Sin Valor
A Didactic Scenario for Implementation of Computational Thinking using Inquiry Game Learning,"Psycharis, Sarantos and Kotzampasaki, Evangelia",2017,"We present an education scenario for the simulation of the ""pixel"" of a computer screen. The teaching and learning process is implemented as a game problem based scenario related to the ""rescue"" of an object by the students. We used the Arduino controller and the Ejs and S4A software in order to motivate students to be involved in the computational experiment methodology and the dimensions of the computational thinking (CT). Research is in process for the effectiveness of this scenario to 5th and 6th grade students using a CT questionnaire."
A Digital Game based Learning Approach for Effective Curriculum Transaction for Teaching-Learning of Artificial Intelligence and Machine Learning,"Alam, Ashraf",2022,Sin Valor
A Digital Game-Based Model for Assessing Computational Thinking Skills,"Yi, Xitian and Liu, Fanhua and Zhan, Zehui",2022,Sin Valor
A Distributed Robot Garden System,"Sanneman, Lindsay and Ajilo, Deborah and DelPreto, Joseph and Mehta, Ankur and Miyashita, Shuhei and Poorheravi, Negin Abdolrahim and Ramirez, Cami and Sehyuk Yim and Kim, Sangbae and Rus, Daniela",2015,Sin Valor
A Feasibility Study of Arducation Bot : An Educational Robotics and Mobile Application Kit for Computational Thinking Skills,"Phetsrikran, Titiphan and Massagram, Wansuree and Phoka, Thanathorn and Harfield, Antony",2018,Sin Valor
A Formative Assessment Tool to Support Computational Thinking in the Classroom,"Orozco-Garcia, Laura and Gonzalez, Carolina and Montano, Juan and Mondragon, Cristian and Tobar-Munoz, Hendrys",2019,Sin Valor
A Four Point Student-Led Strategy for Attracting Diverse Small College Commuter Campus Students to Computer Science: (Abstract Only),"Zahuantitla, Gabrielle I. and Holder, Aryanna",2018,"Currently, there is a push for integrating computer science education and computational thinking into the classroom. For example, major local and national organizations such as CS4ALL: NYC and Code.org aim to expose all students, including typically underrepresented groups, to computer science education nurturing students' intrinsic motivation. Furthermore, current research indicates that first-exposure to computer science is an important deciding factor as to whether students are open to computer science in future endeavors. Being one of the most diverse campuses in the nation, and a commuter campus, The State University of New York (SUNY) Old Westbury provides a unique opportunity to pilot how one might go about creating a motivating first exposure to computer science. Through a four point student-led strategy, we explore student pre-conceived attitudes towards computer science and programming to better understand what strategies might increase CS engagement. In order to do this, we host workshops revolving around creative computer science activities such as 3D game design and multimedia art projects. During these workshops, we collect pre and post questionnaires and use their data to gain insight into the Old Westbury student body's notions of computer science. Initial analyzed pre-survey data shows that 70% of students thought Computer Science was difficult. However, post-survey data shows that, after the experience, approximately 90% of students want to take additional workshops involving Computer Science."
A Framework for Decomposition in Computational Thinking,"Rich, Peter J. and Egan, Garrett and Ellsworth, Jordan",2019,"Computational Thinking has become an important cognitive skill to develop in all areas of education. Despite its increasing popularity, the construct itself is only partially understood. There are few measures currently in place that advance our understanding of computational thinking and its subconstructs. In this article, we analyze existing measures of computational thinking (CT), looking specifically at their measures of decomposition. Decomposition is defined as the process of breaking down a problem into its sub-components. Even though most definitions of computational thinking include decomposition, fewbreak down the decompositional process beyond a basic definition. As one of the first steps in the computational thinking process, it is important to better understand the various manners in which decomposition occurs, which methods are most effective, and under what conditions. To better understand the decompositional process, we analyze evidence of decompositional process in a variety of disciplines. We then present a framework for decomposition in computational thinking. We demonstrate how this framework may help educators to better prepare students to break down complex problems, as well as provide guidance for how decompositional ability might be measured."
A Framework for Using Hypothesis-Driven Approaches to Support Data-Driven Learning Analytics in Measuring Computational Thinking in Block-Based Programming Environments,"Grover, Shuchi and Basu, Satabdi and Bienkowski, Marie and Eagle, Michael and Diana, Nicholas and Stamper, John",2017,"Systematic endeavors to take computer science (CS) and computational thinking (CT) to scale in middle and high school classrooms are underway with curricula that emphasize the enactment of authentic CT skills, especially in the context of programming in block-based programming environments. There is, therefore, a growing need to measure students’ learning of CT in the context of programming and also support all learners through this process of learning computational problem solving. The goal of this research is to explore hypothesis-driven approaches that can be combined with data-driven ones to better interpret student actions and processes in log data captured from block-based programming environments with the goal of measuring and assessing students’ CT skills. Informed by past literature and based on our empirical work examining a dataset from the use of the Fairy Assessment in the Alice programming environment in middle schools, we present a framework that formalizes a process where a hypothesis-driven approach informed by Evidence-Centered Design effectively complements data-driven learning analytics in interpreting students’ programming process and assessing CT in block-based programming environments. We apply the framework to the design of Alice tasks for high school CS to be used for measuring CT during programming."
A Framework for teaching programming in High School through Educational Robotics,"Souza, Isabelle M. L. and Andrade, Wilkerson L. and Sampaio, Lívia M. R.",2022,Sin Valor
A Framework to Assess Melodic Effectiveness in Training Computational Thinking to Visually Impaired People,"Costa, Rui and Neto, Alvaro Costa and Araújo, Cristiana and Henriques, Pedro Rangel",2022,Sin Valor
A Free-Choice Social Learning Network for Computational Thinking,"Jamil, Hasan",2018,Sin Valor
A Game Development to Promote Computational Thinking,"Prompolmaueng, Waraporn and Wetmaha, Apisit and Jamsri, Pornsuree",2021,Sin Valor
A Gang Scheduling Computational Paradigm for Container Terminal Logistics with Processor Affinity,"Li, Bin and Shen, Weiming",2015,Sin Valor
A Generator of Game Programming Challenges for Computational Thinking Development,"de Jesus, Ângelo Magno and Frango Silveira, Ismar",2020,Sin Valor
A Guide Towards a Definition of Computational Thinking in K-12,"Ismail, Redar and Steinbach, Theresa A. and Miller, Craig S.",2022,Sin Valor
