Title,Autor,Year
Research on Immersive Environments and 21st Century Skills: an Introduction to the Special Issue,P. G. Schrader and Kimberly A. Lawless,2011
Four-layer framework for combinatorial optimization problems domain,Mark Sh. Levin,2011
I Have a Solution to Share: Learning Through Equitable Participation in a Mathematics Classroom,Mary Q. Foote and Rachel Lambert,2011
"Book review: Jaron Lanier, You Are Not a Gadget: A Manifesto. New York: Alfred Knopf, 2010. ix + 224 pp. $24.95 (hbk) ISBN 9780307269645",Adam Fish,2011
"Hopeless Anarchy or Saving Pluralism? Reflections on Our Field in Response to Ambrose, VanTassel-Baska, Coleman, and Cross",David Yun Dai,2011
"From recreational mathematics to recreational programming, and back",B.C. Ruiz Jiménez and M. Ruiz Muñoz,2011
Making physics education more relevant and accessible via computation and eTextBooks,Rubin H. Landau and Manuel J. Paez and Cristian Bordeianu and Sally Haerer,2011
Pushing the Boundaries of Transdisciplinary Science Through Cyber-Enabled Research,Fahmida N. Chowdhury and Kelly Joyce,2011
Teaching Computing to STEM Students via Visualization Tools,Hongmei Chi and Harsh Jain,2011
Measuring achievement of ICT competency for students in Korea,Seung Eun Cha and Soo Jin Jun and Dai Yong Kwon and Han Sung Kim and Seung Bum Kim and Ja Mee Kim and Young Ae Kim and Sun Gwan Han and Soon Sik Seo and Woo Cheon Jun and Hyun Cheol Kim and Won Gyu Lee,2011
eScience: Building our Body of Knowledge,Valerie Maxville,2011
How to Kill a Journalism School: The Digital Sublime in the Discourse of Discontinuance,Michael McDevitt and Shannon Sindorf,2012
Introducing Life Science Doctoral Students in Oz to the Wizardry of Computational Modeling: Introducing Computational Thinking with CellDesigner™,George W. Shiflet and Angela B. Shifleta,2012
Computation and Early Chinese Thought,Carl M. Johnson,2012
" Does Writing Have a Future?, by Vilém Flusser",Stacey Pigg,2012
"TetraScript: A Responsive Pavilion, from Generative Design to Automation",Gonçalo Castro Henriques,2012
Information technology use and creativity: Findings from the Children and Technology Project,Linda A. Jackson and Edward A. Witt and Alexander Ivan Games and Hiram E. Fitzgerald and Alexander {von Eye} and Yong Zhao,2012
Chapter 6 - Biocompatibility of SiC for Neurological Applications,Christopher L. Frewin and Chris Locke and Stephen E. Saddow and Edwin J. Weeber,2012
Big Data,Linda Frederiksen,2012
Learning Programming at the Computational Thinking Level via Digital Game-Play,Cagin Kazimoglu and Mary Kiernan and Liz Bacon and Lachlan MacKinnon,2012
What do Players (Think They) Learn in Games?,Selen Turkay and Sonam Adinolf,2012
Diagnosing steam production systems on their multivariable steady states,J.M. Blanco and L. Vazquez and F. Peña and D. Diaz,2012
Sin Valor,Xiao-Shan Gao and Deepak Kapur,2012
Young Russian researchers take up challenges in the computational sciences,Peter M.A. Sloot and Alexander V. Boukhanovsky,2012
Mathematical Modeling in the Undergraduate Curriculum,Carl Toews,2012
Computer games created by middle school girls: Can they be used to measure understanding of computer science concepts?,Jill Denner and Linda Werner and Eloy Ortiz,2012
A Unified Approach to Teach Computational Thinking for First Year Non–CS Majors in an Introductory Course,Tun Li and Ting Wang,2012
Looking for the future in the past: Long-term change in socioecological systems,C. Michael Barton and Isaac I.T. Ullah and Sean M. Bergin and Helena Mitasova and Hessam Sarjoughian,2012
Supporting and structuring “contributing student pedagogy” in Computer Science curricula,Katrina Falkner and Nickolas J.G. Falkner,2012
A Serious Game for Developing Computational Thinking and Learning Introductory Computer Programming,Cagin Kazimoglu and Mary Kiernan and Liz Bacon and Lachlan Mackinnon,2012
Pedagogical Analysis of Educational Digital Storytelling Environments of the Last Five Years,Panagiotis Psomos and Maria Kordaki,2012
THE PROMISE OF COMPUTATIONAL JOURNALISM,"Terry Flew, Christina Spurgeon, Anna Daniel and Adam Swift",2012
Enabling creative learning design through semantic technologies,"Patricia Charlton, George Magoulas and Diana Laurillard",2012
"Mobile Affects, Open Secrets, and Global Illiquidity: Pockets, Pools, and Plasma",Gregory J. Seigworth and Matthew Tiessen,2012
La robotique éducationnelle : état des lieux et perspectives,I. Gaudiello and E. Zibetti,2013
Chapter 5 - CUDA Memories,David B. Kirk and Wen-mei W. Hwu,2013
Computer Programming Goes Back to School,Yasmin B. Kafai and Quinn Burke,2013
"Journal of Educational Computing Research Index—Contents of Volume 49, 2013",Sin Valor,2013
Democratizing computer science knowledge: transforming the face of computer science through public high school education,"Jean J. Ryoo, Jane Margolis, Clifford H. Lee, Cueponcaxochitl D.M. Sandoval and Joanna Goode",2013
Sin Valor,Sin Valor,2013
COMPUGIRLS’ Standpoint: Culturally Responsive Computing and Its Effect on Girls of Color,Kimberly A. Scott and Mary Aleta White,2013
Science and Language for English Language Learners in Relation to Next Generation Science Standards and with Implications for Common Core State Standards for English Language Arts and Mathematics,Okhee Lee and Helen Quinn and Guadalupe Valdés,2013
Difficulties of items related to energy and matter: Implications for learning progression in high school chemistry,Xiufeng Liu,2013
Reconstructing Earth's Past Climates: The Hidden Secrets of Pollen,Adrienne Steele and Sophie Warny,2013
"Notes from the Field: Planting, Nurturing, and Watching Things Grow", {Friends of AJPM},2013
Special issue in honour of Professor Kees Roos’ 70th Birthday,"Tamás Terlaky, Etienne de Klerk, Goran Lesaja and Dick den Hertog",2013
Experience-centered approach and visuality in the education of mathematics and physics,Mara Alagic,2013
Examining the Features of Earth Science Logical Reasoning and Authentic Scientific Inquiry Demonstrated in a High School Earth Science Curriculum: A Case Study,Do-Yong Park and Mira Park,2013
Introducing: Computational Science,Valerie Maxville,2013
Pedagogical Language Knowledge: Preparing Mainstream Teachers for English Learners in the New Standards Era,George C. Bunch,2013
"Chapter 27 - Social Networks, Contagion Processes and the Spreading of Infectious Diseases",Bruno Gonçalves and Nicola Perra and Alessandro Vespignani,2013
Chapter 1 - Introduction,David B. Kirk and Wen-mei W. Hwu,2013
WISEngineering: Supporting precollege engineering design and mathematical understanding,Jennifer L. Chiu and Peter T. Malcolm and Deborah Hecht and Crystal J. DeJaegher and Edward A. Pan and Michael Bradley and M. David Burghardt,2013
High school computing teachers' beliefs and practices: A case study,Maria Kordaki,2013
Assessing Teaching Skills with a Mobile Simulation,David Gibson,2013
Preface,Sin Valor,2013
Using Learning Analytics to Understand the Learning Pathways of Novice Programmers,"Matthew Berland, Taylor Martin, Tom Benton, Carmen Petrick Smith and Don Davis",2013
Propagation & level: Factors influencing in the ICT composite index at the school level,Hiroyuki Aoki and JaMee Kim and WonGyu Lee,2013
Chapter 21 - Conclusion and Future Outlook,David B. Kirk and Wen-mei W. Hwu,2013
Understanding Current and Potential Consequences of Population Growth,Clare Valerie Bell and Arthur Louis Odom,2013
Formal and informal context factors as contributors to student engagement in a guided discovery-based program of game design learning,Rebecca Reynolds and Ming Ming Chiu,2013
Repatriating Indigenous Technologies in an Urban Indian Community,Megan Bang and Ananda Marin and Lori Faber and Eli S. Suzukovich,2013
"On Computable Numbers, with an Application to the Entscheidungsproblem – A Correction",S. Barry Cooper and Jan Van Leeuwen,2013
"Mirror neurons: Functions, mechanisms and models",Erhan Oztop and Mitsuo Kawato and Michael A. Arbib,2013
Let’s Dance the “Robot Hokey-Pokey!”,Louise P. Flannery and Marina Umaschi Bers,2013
"Modelling, abstraction, and computation in systems biology: A view from computer science",Tom Melham,2013
Simulation Insights Using R,Boyan Kostadinov,2013
Outdoor education gives fewer demands for action regulation and an increased variability of affordances,Tove Anita Fiskum and Karl Jacobsen,2013
The Impact of a Novel Curriculum on Secondary Biology Teachers’ Dispositions Toward Using Authentic Data and Media in Their Human Impact and Ecology Lessons,Yael Wyner,2013
Acknowledgements,David B. Kirk and Wen-mei W. Hwu,2013
Chapter 13 - Parallel Programming and Computational Thinking,David B. Kirk and Wen-mei W. Hwu,2013
"Computer Experiments with Diffusion: Finite Differences, round-off Error and Animal Stripes?",Kathie A. Yerion,2013
Goal attainment on long tail web sites: An information foraging approach,J.A. McCart and B. Padmanabhan and D.J. Berndt,2013
 The Capture: Kidnapping Students’ Interests Using the Guardians of Ga’Hoole ,"Leslie Bradbury, Beth Frye and Lisa Gross",2013
Robust evaluation for a maturing field: The train the teacher method,Judy Robertson and Andrew Macvean and Katy Howland,2013
Computational Thinking in K–12: A Review of the State of the Field,Shuchi Grover and Roy Pea,2013
Skills for innovation: envisioning an education that prepares for the changing world,Cristobal Cobo,2013
Paper-and-Pencil Programming Strategy toward Computational Thinking for Non-Majors: Design Your Solution,Byeongsu Kim and Taehun Kim and Jonghoon Kim,2013
Snack Rx - Helping Boys and Girls Club Participants “Think Smart” and “Stay Strong” and Promoting Professional Skills Development for Undergraduate Dietetics Students,B. Bertrand and E. Kroeger and T. Harman and T. Hallatt and K. Kruse and N. Harris,2013
A meta-model for dataflow-based rules in smart environments: Evaluating user comprehension and performance,Alejandro Catala and Patricia Pons and Javier Jaen and Jose A. Mocholi and Elena Navarro,2013
Preparing the Future STEM Workforce for Diverse Environments,Shaundra Bryant Daily and Wanda Eugene,2013
Challenges in the implementation of a competency-based curriculum in Spain,Beatriz Crujeiras and María Pilar Jiménez-Aleixandre,2013
Pop-Up Constructions Motivate and Reinforce Science Learning for Upper Elementary Students,"Benjamin D. Olsen, Ksenia S. Zhbanova, Harun Parpucu, Zaid Alkouri and Audrey C. Rule",2013
Chapter 11 - Application Case Study: Advanced MRI Reconstruction,David B. Kirk and Wen-mei W. Hwu,2013
Digital Futures? Sociological Challenges and Opportunities in the Emergent Semantic Web,Susan Halford and Catherine Pope and Mark Weal,2013
Metonymy and reference-point errors in novice programming,Craig S. Miller,2014
Contests,Sin Valor,2014
What Should We Grow in Our School Garden to Sell at the Farmers’ Market? Initiating Statistical Literacy through Science and Mathematics Integration,"Sarah J. Selmer, James A. Rye, Elizabeth Malone, Danielle Fernandez and Kathryn Trebino",2014
A Critical Pedagogy Approach for Engaging Urban Youth in Mobile App Development in an After-School Program,Sepehr Vakil,2014
"Computational Design Research in Architecture: The Legacy of the Hochschule für Gestaltung, Ulm",Isabel Clara Neves and João Rocha and José Pinto Duarte,2014
Cognitive diagnostic like approaches using neural-network analysis of serious educational videogames,Richard L. Lamb and Leonard Annetta and David B. Vallett and Troy D. Sadler,2014
LEGO-based Robotics in Higher Education: 15 Years of Student Creativity,Ethan Danahy and Eric Wang and Jay Brockman and Adam Carberry and Ben Shapiro and Chris B. Rogers,2014
Computational thinking: a case study of Buddhist terminology using new software,Lewis Lancaster,2014
‘Am I Like a Scientist?’: Primary children's images of doing science in school,"Junqing Zhai, Jennifer Ann Jocz and Aik-Ling Tan",2014
1 - The influences of personality traits on academic performance through imaginative capability: the differences between engineering and science,C. Liang and H.-T. Yeh,2014
New curricula and new research agendas,Patrick Carmichael,2014
Global Sensitivity Analysis of a Large Agent-Based Model of Spatial Opinion Exchange: A Heterogeneous Multi-GPU Acceleration Approach,Wenwu Tang and Meijuan Jia,2014
Design and Assessment of a Skills-Based Geoscience Curriculum,Carl E. Renshaw,2014
Journalism innovation leads to innovation journalism: The impact of computational exploration on changing mindsets,Astrid Gynnild,2014
Code generation,Niall Firth,2014
The Politics of the ICT4ED (Fatih) Project in Turkey,Hüseyin Tolu,2014
CTArcade: Computational thinking with games in school age children,Tak Yeon Lee and Matthew Louis Mauriello and June Ahn and Benjamin B. Bederson,2014
Learning strategies and multimedia techniques for scaffolding size and scale cognition,Alejandra J. Magana,2014
Effects of Transferring to STEM-Focused Charter and Magnet Schools on Student Achievement,Eugene Judson,2014
Pair Programming: Under What Conditions Is It Advantageous for Middle School Students?,"Jill Denner, Linda Werner, Shannon Campe and Eloy Ortiz",2014
Sweet Science for ALL! Supporting Inquiry-Based Learning Through M\&Ms Investigation for English Language Learners,"Youngjin Song, Teresa Higgins and Jenni Harding-DeKam",2014
Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,Marina Umaschi Bers and Louise Flannery and Elizabeth R. Kazakoff and Amanda Sullivan,2014
Effects of Using Alice and Scratch in an Introductory Programming Course for Corrective Instruction,Chih-Kai Chang,2014
An implementation of design-based learning through creating educational computer games: A case study on mathematics learning during design and computing,Fengfeng Ke,2014
Mapping students’ ideas to understand learning in a collaborative programming environment,Danielle Boyd Harlow and Anne Emerson Leak,2014
Teaching Engineering Practices,Christine M. Cunningham and William S. Carlsen,2014
Examining the Durability of Environmental Education Self-Efficacy Beliefs in Preservice Teaching,"Greer M. Richardson, Ling L. Liang and Donna G. Wake",2014
"Examining the Effects of Learning Styles, Epistemic Beliefs and the Computational Experiment Methodology on Learners’ Performance Using the Easy Java Simulator Tool in Stem Disciplines",Sarantos Psycharis and Evanthia Botsari and George Chatzarakis,2014
Special Issue Introduction,Jane A. Van Galen,2014
Role of automation in the examination of handwritten items,Sargur N. Srihari and Kirsten Singer,2014
Forensic Palynology as Classroom Inquiry,Steven L. Babcock and Sophie Warny,2014
Taking Computer Science and Programming into Schools: The Glyndŵr/BCS Turing Project,Vic Grout and Nigel Houlden,2014
Teaching Scientific Core Ideas through Immersing Students in Argument: Using Density as an Example,"Ying-Chih Chen, Jia-Ling Lin and Yen-Ting Chen",2014
Cognitive outcomes from the Game-Design and Learning (GDL) after-school program,Mete Akcaoglu and Matthew J. Koehler,2014
Teaching Scientific Practices: Meeting the Challenge of Change,Jonathan Osborne,2014
Programming Pluralism: Using Learning Analytics to Detect Patterns in the Learning of Computer Programming,"Paulo Blikstein, Marcelo Worsley, Chris Piech, Mehran Sahami, Steven Cooper and Daphne Koller",2014
Initiating a Programmatic Assessment Report,"Zaur Berkaliev, Shavila Devi, Gregory E. Fasshauer, Fred J. Hickernell, Ozgul Kartal, Xiaofan Li, Patrick McCray, Stephanie Whitney and Judith S. Zawojewski",2014
Improving Climate Change Communication Starting with Environmental Educators,Julie Lee Lambert and Robert E. Bleicher,2014
Review on teaching and learning of computational thinking through programming: What is next for K-12?,Sze Yee Lye and Joyce Hwee Ling Koh,2014
"Creating a pipeline of talent for informatics: STEM initiative for high school students in computer science, biology, and biomedical informatics",Joyeeta Dutta-Moscato and Vanathi Gopalakrishnan and Michael T. Lotze and Michael J. Becich,2014
Digital Competence in Tourism Education: Cooperative-experiential Learning,Massimo Morellato,2014
Developing a Reform-Minded Science Teaching Identity: The Role of Informal Science Environments,Lucy Avraamidou,2014
"Teachers' perceptions of inquiry-based learning in urban, suburban, township and rural high schools: The context-specificity of science curriculum implementation in South Africa",Umesh Dewnarain Ramnarain,2014
"Drafting an Army: The Playful Pastime of Warhammer 40,000",Marcus Carter and Martin Gibbs and Mitchell Harrop,2014
Computational Science for Undergraduate Biologists via QUT.Bio.Excel,Lawrence Buckingham and James M. Hogan,2014
"Put Your Robot in, Put Your Robot out: Sequencing through Programming Robots in Early Childhood",Elizabeth R. Kazakoff and Marina Umaschi Bers,2014
A new way of teaching programming skills to K-12 students: Code.org,Filiz Kalelioğlu,2015
Testing a Conceptual Change Model Framework for Visual Data,Kevin D. Finson and Jon E. Pedersen,2015
Using an adaptive expertise lens to understand the quality of teachers’ classroom implementation of computer-supported complex systems curricula in high school science,"Susan A. Yoon, Jessica Koehler-Yom, Emma Anderson, Joyce Lin and Eric Klopfer",2015
Educating the smart city: Schooling smart citizens through computational urbanism,Ben Williamson,2015
Influence factors for local comprehensibility of process models,Kathrin Figl and Ralf Laue,2015
Multiple influences on curriculum decisions in a supercomplex world,"Kay Livingston, Louise Hayward, Steve Higgins and Dominic Wyse",2015
Elementary Students’ Motivation Towards Informatics Course,Saša Mladenović and Žana Žanko and Monika Mladenović,2015
From Mr. and Mrs. Outlier To Central Tendencies,Mary Lynn Young and Alfred Hermida,2015
Aligning Enterprise Analytics to Business Process Capability Maturity,John Huffman and Lawrence E. Whitman,2015
"Governing methods: policy innovation labs, design and data science in the digital governance of education",Ben Williamson,2015
"Foreign objects? Web content management systems, journalistic cultures and the ontology of software",Scott Rodgers,2015
Cloud-hosted simulation-as-a-service for high school STEM education,Faruk Caglar and Shashank Shekhar and Aniruddha Gokhale and Satabdi Basu and Tazrian Rafi and John Kinnebrew and Gautam Biswas,2015
"Visualizing making: Shapes, materials, and actions",Benay Gürsoy and Mine Özkar,2015
Supporting Children’s Learning of Probability Through Video Game Programming,Yavuz Akpinar and Ümit Aslan,2015
What makes an item more difficult? Effects of modality and type of visual information in a computer-based assessment of scientific inquiry abilities,Hsin-Kai Wu and Che-Yu Kuo and Tsung-Hau Jen and Ying-Shao Hsu,2015
Clarifying Journalism’s Quantitative Turn,Mark Coddington,2015
Dyadic instruction for middle school students: Liking promotes learning,Amy C. Hartl and Dawn DeLay and Brett Laursen and Jill Denner and Linda Werner and Shannon Campe and Eloy Ortiz,2015
Empirical validation and application of the computing attitudes survey,Brian Dorn and Allison Elliott Tew,2015
Rethinking ICT literacy: From computer skills to social network settings,Mark Wilson and Kathleen Scalise and Perman Gochyyev,2015
Empowering K–12 Students With Disabilities to Learn Computational Thinking and Computer Programming,Maya Israel and Quentin M. Wherfel and Jamie Pearson and Saadeddine Shehab and Tanya Tapia,2015
SCIIENCE: The creation and pilot implementation of an NGSS-based instrument to evaluate early childhood science teaching,Joan N. Kaderavek and Tamala North and Regina Rotshtein and Hoangha Dao and Nicholas Liber and Geoff Milewski and Scott C. Molitor and Charlene M. Czerniak,2015
Sustainable Innovations: Bringing Digital Media and Emerging Technologies to the Classroom,Danielle Herro,2015
The Challenges of Defining and Measuring Student Engagement in Science,"Gale M. Sinatra, Benjamin C. Heddy and Doug Lombardi",2015
Shifting South African learners towards greater autonomy in scientific investigations,Umesh Ramnarain and Paul Hobden,2015
Measuring the Level of Algorithmic Skills at the End of Secondary Education in Hungary,Piroska Biró and Mária Csernoch and János Máth and Kálmán Abari,2015
Designing for deeper learning in a blended computer science course for middle school students,"Shuchi Grover, Roy Pea and Stephen Cooper",2015
Learning outcome achievement in non-traditional (virtual and remote) versus traditional (hands-on) laboratories: A review of the empirical research,James R. Brinson,2015
A review of Computer Science resources for learning and teaching with K-12 computing curricula: an Australian case study,Katrina Falkner and Rebecca Vivian,2015
Computer science teacher professional development in the United States: a review of studies published between 2004 and 2014,Muhsin Menekse,2015
Bringing Computational Thinking to STEM Education,Samar I. Swaid,2015
Learning Fractions by Splitting: Using Learning Analytics to Illuminate the Development of Mathematical Understanding,"Taylor Martin, Carmen Petrick Smith, Nicole Forsgren, Ani Aghababyan, Philip Janisiewicz and Stephanie Baker",2015
Constructionist Gaming: Understanding the Benefits of Making Games for Learning,Yasmin B. Kafai and Quinn Burke,2015
If Art Education Then Critical Digital Making: Computational Thinking and Creative Code,Aaron D. Knochel and Ryan M. Patton,2015
"New Year, Expanded Opportunities",Kristin Sayeski,2015
Journalism In An Era Of Big Data,Seth C. Lewis,2015
Simulation Rules: The Role of Simulation in Policy Inquiry,Roy L. Heidelberg and Anand Desai,2015
The Shift of Information Literacy Towards Research 2.0,Tibor Koltay and Sonja Špiranec and László Z. Karvalics,2015
Interview with Deborah Nolan,Allan Rossman and Deborah Nolan,2015
Data Science in Statistics Curricula: Preparing Students to “Think with Data”,"J. Hardin, R. Hoerl, Nicholas J. Horton, D. Nolan, B. Baumer, O. Hall-Holt, P. Murrell, R. Peng, P. Roback, D. Temple Lang and M. D. Ward",2015
The ongoing challenges of computer science education research,Anthony Robins,2015
DNA and 普通話 (Mandarin): Bringing introductory programming to the Life Sciences and Digital Humanities,Mark D. LeBlanc and Michael D.C. Drout,2015
Learning to communicate computationally with Flip: A bi-modal programming language for game creation,Kate Howland and Judith Good,2015
Why Research in Art Education?,Mary Ann Stankiewicz,2015
Effects of Science and Engineering Practices on Science Achievement and Attitudes of Diverse Students including ELLs,Hanna Kim,2015
Ubiquitous computer aided design: A broken promise or a Sleeping Beauty?,Imre Horváth and Regine W. Vroom,2015
The problem of multimodal concurrent serial order in behavior,Oren Kolodny and Shimon Edelman,2015
Opinions on computing education in Korean K-12 system: higher education perspective,"Dae-Kyoo Kim, Dongwon Jeong, Lunjin Lu, Debatosh Debnath and Hua Ming",2015
Determining the effects of computer science education at the secondary level on STEM major choices in postsecondary institutions in the United States,Ahlam Lee,2015
"Gaming the system: culture, process, and perspectives supporting a game and app design curriculum",Danielle Herro,2015
Journalism Meets Interaction Design: An Interdisciplinary Undergraduate Teaching Initiative,Daniel Angus and Skye Doherty,2015
Preparing Undergraduate Students Majoring in Computer Science and Mathematics with Data Science Perspectives and Awareness in the Age of Big Data,Kanyarat Bussaban and Phanu Waraporn,2015
Supporting all learners in school-wide computational thinking: A cross-case qualitative analysis,Maya Israel and Jamie N. Pearson and Tanya Tapia and Quentin M. Wherfel and George Reese,2015
11 - For the mutual benefit: Health information provision in the science classroom,Albert Zeyer and Daniel M. Levin and Alla Keselman,2015
Discovering Plate Boundaries in Data-integrated Environments: Preservice Teachers' Conceptualization and Implementation of Scientific Practices,"Asli Sezen-Barrie, Joel Moore and Cara E. Roig",2015
Bring CS2013 Recommendations into c Programming Course,Lingling Zhao and Xiaohong Su and Tiantian Wang,2015
The Science ELF: Assessing the enquiry levels framework as a heuristic for professional development,"Lindsay B. Wheeler, Randy L. Bell, Brooke A. Whitworth and Jennifer L. Maeng",2015
Abstracting Anonymization Techniques: A Prerequisite for Selecting a Generalization Algorithm,Feten Ben Fredj and Nadira Lammari and Isabelle Comyn-Wattiau,2015
"Schooling Mobile Phones: Assumptions About Proximal Benefits, the Challenges of Shifting Meanings, and the Politics of Teaching",Thomas M. Philip and Antero Garcia,2015
Pre-service Science Teachers’ Understanding of One-Dimensional Motion Graphs in the Kinematic Context,Emine Çil,2015
Post-Face: Cultural Studies of Numeracy,Patti Lather,2016
Origins and evolution of enactive cognitive science: Toward an enactive cognitive architecture,Leonardo Lana de Carvalho and Denis James Pereira and Sophia Andrade Coelho,2016
The Practices of Geography,Sarah Witham Bednarz,2016
Computational Model of the Tangled Web,Viacheslav E. Wolfengagen and Larisa Yu. Ismailova and Sergey Kosikov,2016
How the machine ‘thinks’: Understanding opacity in machine learning algorithms,Jenna Burrell,2016
Teaching the “Geo” in Geography with the Next Generation Science Standards,Michael E. Wysession,2016
"How can we improve Science, Technology, Engineering, and Math education to encourage careers in Biomedical and Pathology Informatics?",Rahul Uppal and Gunasheil Mandava and Katrina M. Romagnoli and Andrew J. King and Amie J. Draper and Adam L. Handen and Arielle M. Fisher and Michael J. Becich and Joyeeta Dutta-Moscato,2016
Issue PDF,Sin Valor,2016
Alternative Ontologies of Number: Rethinking the Quantitative in Computational Culture,Elizabeth de Freitas and Ezekiel Dixon-Román and Patti Lather,2016
"Development, validation, and factorial comparison of the McGill Self-Efficacy of Learners For Inquiry Engagement (McSELFIE) survey in natural science disciplines","Ahmed Ibrahim, Mark W. Aulls and Bruce M. Shore",2016
How teaching practices are connected to student intention to enrol in upper secondary school physics courses,Kalle Juuti and Jari Lavonen,2016
Chapter 1 - Shifting Research Paradigms Toward Research 2.0,Tibor Koltay and Sonja Špiranec and László Z. Karvalics,2016
"On the Sleep of the Computer, or the Performance of Randomness",Mi You,2016
